V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
0.012858251,0.012090388,0.011278682,0.010458161,0.009691202,0.009031348,0.008486148,0.00804253,0.007675151,0.007354864,0.007056073,0.006761913,0.006466294,0.006172499,0.005889197,0.005625663,0.0053879,0.005176642,0.00498734,0.004811704,0.004640193,0.004464718,0.00428079,0.004088469,0.003891852,0.003697407,0.003511869,0.00334043,0.003185696,0.003047498,0.002923403,0.00280963,0.002702124,0.002597511,0.002493733
0.011888067,0.011209559,0.010486434,0.009750495,0.009059796,0.008465008,0.007974175,0.007576092,0.007247873,0.006962769,0.006697038,0.006434864,0.006170409,0.005906618,0.005651588,0.005414099,0.005199931,0.005009916,0.004839842,0.004681878,0.004526918,0.004367184,0.004198322,0.004020365,0.003837281,0.003655396,0.003481355,0.003320347,0.003175055,0.003045442,0.002929212,0.002822706,0.002721944,0.002623584,0.002525572
0.011874342,0.011139446,0.010376864,0.009609445,0.008886144,0.008251463,0.007712573,0.007260804,0.006877989,0.006542878,0.00623649,0.00594568,0.005664449,0.00539299,0.00513513,0.004895284,0.004675969,0.004476521,0.004293113,0.004119813,0.003950255,0.003779373,0.003604697,0.003426799,0.003248813,0.003075256,0.002910634,0.002758291,0.002619768,0.002494735,0.002381367,0.002276974,0.002178721,0.002084239,0.001992027
0.013340053,0.012356349,0.011388722,0.010436824,0.009536224,0.00872642,0.008013302,0.00739207,0.006851241,0.006376662,0.005954666,0.005574002,0.005226565,0.004907105,0.004612324,0.004339797,0.004087098,0.003851366,0.003629344,0.003417776,0.003213967,0.003016274,0.002824335,0.00263897,0.002461781,0.002294597,0.00213894,0.001995654,0.001864755,0.001745493,0.001636566,0.001536405,0.001443455,0.001356394,0.001274255
0.01583607,0.014507721,0.013252511,0.012043744,0.01090202,0.009861519,0.00892756,0.008099731,0.007372733,0.006737701,0.00618359,0.005698429,0.005270326,0.004888224,0.004542423,0.004224909,0.003929488,0.003651762,0.003388955,0.003139626,0.002903311,0.002680152,0.002470559,0.00227494,0.002093521,0.001926248,0.001772767,0.001632447,0.001504446,0.001387776,0.001281378,0.001184182,0.001095162,0.001013374,0.000937974
0.018345056,0.016696126,0.015169787,0.013719252,0.012352531,0.011098742,0.009963546,0.008950625,0.008059563,0.00728491,0.006616444,0.00604034,0.005540811,0.005101855,0.004708812,0.004349573,0.004015285,0.003700476,0.003402625,0.003121338,0.002857352,0.002611653,0.002384852,0.002176906,0.001987121,0.001814325,0.001657115,0.001514069,0.001383883,0.001265421,0.001157692,0.001059801,0.000970887,0.00089009,0.000816544
0.020980938,0.019003034,0.01719751,0.015495189,0.013891979,0.012413778,0.011067687,0.009862391,0.008802744,0.007886474,0.007103505,0.00643737,0.005867756,0.00537334,0.004934367,0.004534645,0.004162715,0.00381206,0.003480381,0.003168212,0.002877329,0.002609395,0.002365128,0.002144043,0.001944635,0.001764796,0.001602268,0.00145499,0.001321287,0.001199887,0.001089824,0.000990292,0.000900504,0.000819612,0.000746689
0.0232003,0.020960654,0.018950421,0.017077914,0.015319577,0.013689522,0.012193236,0.010843189,0.009649855,0.008615551,0.007732298,0.006983104,0.006345172,0.005793696,0.005305376,0.004861133,0.004447716,0.004057991,0.003689965,0.00334494,0.003025427,0.002733448,0.002469581,0.002232764,0.00202066,0.001830275,0.001658585,0.001502987,0.001361521,0.001232851,0.001116087,0.001010553,0.000915568,0.000830324,0.000753856
0.024637635,0.022251109,0.020156503,0.018243201,0.016460782,0.014800145,0.013259109,0.011849771,0.010586768,0.009478137,0.008520962,0.007701556,0.006998584,0.006387339,0.005843934,0.005348623,0.004887798,0.004454387,0.004046751,0.003666593,0.003316628,0.002998741,0.00271302,0.002457654,0.002229434,0.002024524,0.00183921,0.001670438,0.001516045,0.001374717,0.001245731,0.001128628,0.00102292,0.000927917,0.00084268
0.025517987,0.023067978,0.020975643,0.0191168,0.017409431,0.015811732,0.014308654,0.012907829,0.011626118,0.010477683,0.00946684,0.008586305,0.00781946,0.00714465,0.00653982,0.005986365,0.005471504,0.004988835,0.004537219,0.004118587,0.003735537,0.003389484,0.003079743,0.00280354,0.002556643,0.002334267,0.00213194,0.00194612,0.001774467,0.001615756,0.001469545,0.00133573,0.001214156,0.00110437,0.001005543
