"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"22",36128,36588.508817048,37006.9709389765,37290.6122710738,37526.03867558,37545.569888005,37931.3687202723,38354.1312135562,38697.4586362408,39001.6720488279,39245.5135892339,38998.6160028434,39361.4210354945,39462.7706491181,39339.8415310967,39294.6965372604,39204.8309613042,38132.3022666368,38409.6810844075,38339.3529057324,38066.6455669947,37811.1641979568,37339.9098247057,33206.2976049847,35831.8018180423,36547.122789365,36777.9370343325,37183.9161419758,37423.9280139205,34366.4983054013,36145.1505638116,36496.2985353528,36740.5957075372,36961.6902370621,32252.0382620307,34101.2009433319
"23",35583,36077.9302048,36559.6915977382,36984.7699020056,37272.4210527239,37513.4991246004,37471.9848136739,37885.2084066277,38327.1441345645,38673.8852279684,38984.1278486868,39233.4206336586,38923.1339865768,39318.0794662868,39437.9899233634,39316.0185426006,39278.397057842,39193.6911830203,38063.7737529258,38374.0018707321,38316.7453395045,38045.3889237102,37796.7014654622,37330.1260962132,33154.7139460962,35802.4132191636,36525.6478096553,36758.9994493286,37170.8008913616,37414.8857192817,34321.9157125111,36118.1455820514,36474.3465957246,36723.1507215863,36949.6685581975,32195.6570871072
"24",34934,35574.254339094,36024.3207095032,36529.6149631321,36961.8844291009,37253.8457080611,37500.915371373,37391.9729079885,37836.072503651,38299.1218563648,38649.5680944581,38966.2796674656,39221.330266589,38841.1048050867,39272.1515065272,39412.3918678059,39291.4505916696,39261.8767604315,39182.5952922716,37989.5454354752,38336.483225363,38293.459142176,38023.5487018808,37782.0973113731,37320.417239688,33099.2009860987,35771.6836498735,36503.5317855861,36739.614039584,37157.6066695356,37405.9461432219,34274.3226789377,36090.0280030154,36451.715211995,36705.3594200331,36937.6194929787
"25",34285,34921.15040145,35565.5897669844,35967.1793282613,36498.308389046,36938.3368996163,37234.9009726493,37488.2878381437,37305.4638864438,37783.9823340448,38270.0927305608,38624.5311361439,38948.1395783932,39209.240016985,38752.4600043741,39223.665519195,39386.0020002219,39266.1617889483,39245.1444478887,39171.5381597931,37909.5736433789,38297.1570858232,38269.5168844231,38001.1452269857,37767.3570794922,37310.7760323799,33039.7503196363,35739.6425235681,36480.7960718629,36719.7973898237,37144.3357559983,37397.0997865828,34223.7334016461,36060.8259373069,36428.4265392114,36687.2352311855
"26",33709,34265.478429565,34908.1722701937,35556.9625507434,35906.5292405129,36465.7588326415,36914.1005486264,37215.5520797683,37475.572860581,37212.501990625,37728.9530998458,38240.0367774536,38598.7470986368,38929.668656887,39197.1032280394,38657.2449388761,39172.629960594,39358.7939531101,39240.1241222029,39228.1587569202,39160.4723569491,37823.8991063225,38256.020079648,38244.8900676128,37978.1479599252,37752.4391245153,37301.1567546572,32976.3899243689,35706.2793170948,36457.4133408127,36699.5170090055,37130.945742979,37388.3005855769,34170.1657980986,36030.5236286027,36404.4542667009
"27",33111,33687.467061599,34245.4267170392,34894.9944351617,35548.3037192231,35842.4238416921,36431.9222550207,36889.1110683767,37195.7265364333,37462.6942675408,37113.2721747669,37671.0078040775,38208.8977243055,38572.1495897823,38910.7893637048,39184.8407278714,38555.6455424981,39119.0470127677,39330.7017713613,39213.2697900988,39210.8403486204,39149.3197677057,37732.6698663447,38213.0459063559,38219.5112175026,37954.4874218336,37737.2665702409,37291.4861313593,32909.1999033466,35671.5549247527,36433.3191467395,36678.7029513329,37117.3609037767,37379.4764605908,34113.6545970089,35999.072836741
"28",32505,33076.668727206,33665.2144009819,34224.7391232503,34881.5118118968,35539.5191290529,35774.9157833438,36396.7096363397,36863.2581464449,37175.3086862656,37449.5415276731,37008.0536357887,37610.1495375499,38176.5709717592,38544.6238481085,38891.380700881,39172.339823243,38447.9404237864,39062.8873568047,39301.6099918513,39185.4818554478,39193.0682312866,39137.9708888462,37636.0975880095,38168.1662888868,38193.2653058569,37930.0476544295,37721.7244392667,37281.6631437059,32838.2800180985,35635.3870001412,36408.4037113745,36657.2415453407,37103.4702139841,37370.529608141,34054.2242441531
"29",31913,32428.41132894,33040.8485472679,33642.1102336602,34203.2811701128,34867.5972977829,35530.4994123351,35704.0477143472,36359.997476421,36836.3983969351,37154.153147475,37435.9822470712,36897.1776921362,37546.3592638005,38142.9159956767,38516.0204223755,38871.2924082472,39159.4666563792,38334.4589054054,39004.0924769058,39271.3673243594,39156.6082290701,39174.6936194592,39126.2968540274,37534.4254392721,38121.2785286729,38166.0034114008,37904.679848908,37705.6727893095,37271.5698417613,32763.7338057911,35597.659530841,36382.5249456921,36634.9888768323,37089.1397777868,37361.346660012
"30",31333,31903.718710297,32348.2017289362,33003.4125389652,33618.0019946877,34180.8981324757,34853.108137461,35521.1243702906,35629.8564883992,36321.6382244833,36808.3652346999,37132.0935749726,37421.8684325323,36781.0150455516,37479.6032262447,38107.7671078722,38486.1654609495,38850.3534148092,39146.0721999689,38215.5687212318,38942.5839981721,39239.7973077955,39126.4720112089,39155.5480456694,39114.1549077036,37427.9210566751,38072.2560893362,38137.5526404898,37878.2120723005,37688.9539808777,37261.0761430871,32685.6689350377,35558.233093844,36355.5180882774,36611.7796955041,37074.2194102805
"31",30760,31317.91598047,31893.9543538597,32264.4884969941,32964.2057389985,33592.7115415852,34157.4102497913,34837.8814767248,35511.2585200813,35552.3570968049,36281.4535984255,36778.9634855261,37108.9376300983,37407.031746933,36659.940182969,37409.8199904774,38070.9272242837,38454.8549640664,38828.3667177501,39131.9875214835,38091.6400648748,38878.2523681679,39206.6923388784,39094.8657644976,39135.4382260597,39101.3835102998,37316.8467019181,38020.9402847494,38107.7107682996,37850.4438959342,37671.3877624504,37250.0352018319,32604.1784307326,35516.9381443304,36327.1902684937,36587.4222079787
