sexo,edad,year,valor
Hombres,11,2021,0.987004767
Hombres,12,2021,0.98945408
Hombres,13,2021,0.98661967
Hombres,14,2021,0.976683779
Hombres,15,2021,0.962269805
Hombres,16,2021,0.948314238
Hombres,17,2021,0.93283763
Hombres,18,2021,0.921849843
Hombres,19,2021,0.919594671
Hombres,20,2021,0.924210892
Hombres,21,2021,0.929046394
Hombres,22,2021,0.935669047
Hombres,23,2021,0.943023924
Hombres,24,2021,0.948908628
Hombres,25,2021,0.953558235
Hombres,26,2021,0.960139736
Hombres,27,2021,0.968721168
Hombres,28,2021,0.975855219
Hombres,29,2021,0.980691825
Hombres,30,2021,0.982753312
Hombres,31,2021,0.985254416
Hombres,32,2021,0.987165915
Hombres,33,2021,0.988726483
Hombres,34,2021,0.99045976
Hombres,35,2021,0.992389304
Hombres,36,2021,0.993306738
Hombres,37,2021,0.993262219
Hombres,38,2021,0.993979186
Hombres,39,2021,0.994723606
Hombres,40,2021,0.995656325
Hombres,41,2021,0.996427032
Hombres,42,2021,0.997154366
Hombres,43,2021,0.99767608
Hombres,44,2021,0.997515699
Hombres,45,2021,0.997443401
Hombres,46,2021,0.997343981
Hombres,47,2021,0.997319844
Hombres,48,2021,0.997310899
Hombres,49,2021,0.997273715
Hombres,50,2021,0.997632811
Hombres,51,2021,0.9976787
Hombres,52,2021,0.997870034
Hombres,53,2021,0.998134923
Hombres,54,2021,0.997905596
Hombres,55,2021,0.998438616
Hombres,56,2021,0.998524379
Hombres,57,2021,0.998642621
Hombres,58,2021,0.998473451
Hombres,59,2021,0.998516693
Hombres,60,2021,0.998622921
Hombres,61,2021,0.998657929
Hombres,1,2022,0.995544629
Hombres,2,2022,0.991146761
Hombres,3,2022,0.987767197
Hombres,4,2022,0.985789477
Hombres,5,2022,0.984761226
Hombres,6,2022,0.984586352
Hombres,7,2022,0.984583336
Hombres,8,2022,0.985247099
Hombres,9,2022,0.986110914
Hombres,10,2022,0.986665736
Hombres,11,2022,0.98734251
Hombres,12,2022,0.989711432
Hombres,13,2022,0.987218474
Hombres,14,2022,0.977718222
Hombres,15,2022,0.963699986
Hombres,16,2022,0.950130713
Hombres,17,2022,0.935060388
Hombres,18,2022,0.924409809
Hombres,19,2022,0.922363385
Hombres,20,2022,0.927026971
Hombres,21,2022,0.931862304
Hombres,22,2022,0.938470015
Hombres,23,2022,0.94574832
Hombres,24,2022,0.951454472
Hombres,25,2022,0.955827285
Hombres,26,2022,0.962038208
Hombres,27,2022,0.970132905
Hombres,28,2022,0.976805002
Hombres,29,2022,0.98133817
Hombres,30,2022,0.983305701
Hombres,31,2022,0.985689072
Hombres,32,2022,0.987709974
Hombres,33,2022,0.989080152
Hombres,34,2022,0.990854021
Hombres,35,2022,0.992884109
Hombres,36,2022,0.993901729
Hombres,37,2022,0.993981984
Hombres,38,2022,0.994746779
Hombres,39,2022,0.995436531
Hombres,40,2022,0.996249453
Hombres,41,2022,0.996937202
Hombres,42,2022,0.997562545
Hombres,43,2022,0.998040086
Hombres,44,2022,0.997902003
Hombres,45,2022,0.997851425
Hombres,46,2022,0.997798609
Hombres,47,2022,0.99783498
Hombres,48,2022,0.997829382
Hombres,49,2022,0.997745067
Hombres,50,2022,0.998109871
