"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"20",35987,36534.065112706,37056.0168166389,37378.3740731831,37924.347026346,38472.4519840539,38970.6150216882,39480.6274484643,39921.6071624576,39686.2685121075,40190.2289027659,40391.9482243518,40298.9005906231,40270.0752871993,40227.1571599867,38872.4332905983,39350.2198698861,39380.9438285286,39135.9747078729,38941.522557905,38543.1410166661,34092.9536316689,37205.8206554969,38071.6820747758,38349.6998061679,38855.9948837455,39162.9778881526,35429.9371088504,37570.0115747703,38011.5481152174,38331.1456884197,38637.5634244609,33007.9479988566,35199.1863324767,37056.662659683,37069.7736140084
"21",35252,35932.99502884,36485.6204308896,37016.8345255773,37264.5105001897,37837.4645469207,38408.938620995,38911.5944539146,39430.7544933751,39881.3938481116,39566.2760077319,40103.5009609684,40329.6537825947,40238.0845122692,40221.613916168,40188.554938613,38760.0003360632,39273.5165325051,39322.4515095648,39079.7100911147,38896.8790618481,38507.9063417881,34002.5728365689,37138.5009644843,38015.2534078267,38297.1761723624,38813.5588529172,39128.8720255991,35345.6066308242,37505.7223345137,37954.4157701,38281.1333177384,38597.364207998,32914.0417071177,35118.4436933307,36997.0415281099
"22",34421,35183.289233988,35873.2584368523,36431.8729161486,36973.1261948913,37140.7870337685,37742.3648094651,38338.8483766239,38846.3245734051,39375.3575166338,39836.4834503806,39435.8673424928,40008.4270698947,40260.793923485,40170.8231740079,40167.7219410005,40145.3940783397,38637.6662943226,39189.2176573028,39257.7350514173,39017.4089828092,38847.1749183202,38468.4653118598,33904.0113808239,37064.3780501959,37952.8170035687,38238.9488776297,38766.2574673872,39090.6506695024,35253.3896603595,37434.838469599,37891.2223130678,38225.6247939616,38552.5041512657,32811.8220160058,35030.0673922891
"23",33469,34319.512125391,35108.4806597044,35808.0991111858,36373.165029561,36925.2655922258,37006.9808859824,37639.1451408083,38262.4785024843,38775.1369743861,39314.8154238045,39787.2809316333,39294.8175095634,39905.1606386413,40185.7063752547,40097.4606457948,40108.7932016756,40098.0837350532,38505.2739443884,39097.5435744921,39187.1355895257,38949.419469908,38792.7966040224,38425.2101000038,33797.227815139,36983.6997590434,37884.7032347037,38175.3706216057,38714.4805948874,39048.7115222093,35153.3457580051,37357.6357412219,37822.29351906,38164.9825160198,38503.3738423404,32701.1743507334
"24",32376,33429.662813292,34210.2918567495,35027.9268137498,35737.9227924368,36309.9301366644,36873.7075085342,36863.052632788,37528.0437941389,38180.2367485663,38698.4689123537,39249.6026027573,39734.2761966143,39143.0944428208,39793.9968725554,40104.839553116,40018.4499228085,40045.3162233788,40047.1165444467,38362.8465940691,38998.842451299,39111.0994971659,38876.1921074912,38734.2195975287,38378.6107718096,33682.3257236717,36896.8281549401,37811.3440909388,38106.8915272586,38658.7045265509,39003.5295076657,35045.6707084149,37274.5006190079,37748.0575855217,38099.6632629385,38450.4476052006
"25",31294,32325.580078176,33387.9360084574,34093.6007564879,34942.045728095,35663.1892922377,36242.6484896999,36818.9422725317,36709.1049680677,37409.3977578425,38092.5962295637,38616.8168843798,39180.2410582841,39677.9951771098,38980.8155498831,39675.3277118037,40018.7048652238,39934.3050490414,39977.8250888207,39993.0192174395,38210.5453641966,38893.5454206851,39030.1316207646,38798.2331740675,38671.9608468746,38329.1681832315,33559.516326392,36804.1964540475,37733.2279714821,38034.0130117781,38599.4444050886,38955.6088742314,34930.6572305076,37185.8864204318,37669.0000166136,38030.1720298244
"26",30309,31229.817508112,32272.6207247525,33344.2432198793,33969.7750146244,34851.2879573618,35584.3768179257,36171.8096599988,36761.4565634101,36545.3623534479,37283.6128851437,38000.0584950247,38530.6980230645,39107.2593572007,39618.9574548478,38808.2256891679,39549.6086199093,39927.8367131712,39845.5610396462,39906.8574531687,39936.3098360636,38048.6461753827,38782.1316705568,38944.7559009233,38716.065189501,38606.5377891436,38277.3729050488,33429.0955218305,36706.2748409199,37650.8615420059,37957.2486210103,38537.213184236,38905.4416463451,34808.668232579,37092.2777563856,37585.6257497858
"27",29339,30240.88567503,31162.7746163081,32217.5199689403,33298.9674061081,33839.1911910347,34756.1004119795,35501.9452531832,36097.8759640979,36701.6979483727,36372.13656844,37151.1259023088,37903.1141137943,38440.610399815,39031.1536192326,39557.6384812537,38625.6605411406,39417.3179870979,39832.7514448431,39752.7329556288,39832.9148750377,39877.4603288701,37877.503022448,38665.0883994211,38855.4754764128,38630.1873043651,38538.4304515683,38223.6697891404,33291.4108052429,36603.5322157389,37564.7311299355,37877.0855309729,38472.4842311855,38853.472029732,34680.1014070106,36994.1521385641
"28",28420,29252.124785863,30170.1637652135,31093.2270628954,32160.6182872617,33252.4268046222,33702.2455747266,34656.8992373787,35416.307780361,36021.2536740318,36640.0466196675,36189.8129046714,37012.3795614111,37802.2127264525,38347.0024008902,38952.3563163404,39494.4396552682,38433.5314456474,39278.9291838178,39733.9154743345,39656.2840401245,39756.4313765228,39816.8666076553,37697.5309834045,38542.8815491064,38762.7414832772,38541.0444000321,38468.0512230317,38168.4298207055,33146.8430535696,36496.407879114,37475.2726761155,37793.9541535933,38405.6614887418,38800.0683598153,34545.3669241577
"29",27568,28287.90787564,29161.9924076697,30097.128617195,31021.471668141,32102.1877503358,33204.8664238548,33559.3325167545,34554.0517697709,35327.8147875092,35942.2784081378,36576.8039572795,35998.825220326,36867.7997686875,37697.7443080657,38250.2549845709,38871.2213237507,39429.6765151437,38232.2990094265,39134.8872229878,39631.7268766376,39556.6076925956,39677.7588454598,39754.8374242082,37509.1806605929,38415.9344789492,38666.9355689526,38449.010235975,38395.7315944769,38111.9401247181,32995.7846030637,36385.2922660523,37382.8547937432,37708.2124081814,38337.0667882002,38745.5135624981
