Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,76.00,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,6,8,11,14,17,14,12,9,7,4
Hombres,77.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5,7,9,12,14,12,10,8,6,5
Hombres,78.00,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,6,8,9,10,9,9,8,7,6
Hombres,79.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,6,6,6,6,6,6,6,7,8,8,9
Hombres,80.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,14,18,21,25,29,30,31,31,32,33,29,24,20,15,11
Mujeres,0.00,2,7,11,15,19,23,34,44,54,64,74,75,75,75,75,76,90,104,118,132,145,156,166,176,186,197,201,205,209,213,218,331,445,559,673,786,733,680,626,573,520
Mujeres,1.00,3,6,9,12,15,18,26,34,42,50,58,59,60,61,62,63,76,89,103,116,130,141,152,163,174,185,189,193,196,200,204,306,408,511,613,716,668,621,573,526,478
Mujeres,2.00,4,6,8,10,12,14,20,26,32,38,44,45,47,48,50,51,64,76,89,102,115,126,138,149,161,172,176,179,182,186,189,280,372,463,555,646,604,563,521,479,437
Mujeres,3.00,4,6,7,8,10,11,15,20,24,28,33,34,36,38,39,41,53,65,77,88,100,112,123,135,146,158,161,164,168,171,174,255,336,417,498,579,542,506,470,434,397
Mujeres,4.00,4,5,6,7,8,9,12,15,18,20,23,25,27,29,31,33,43,54,65,76,87,98,109,121,132,143,146,149,152,156,159,230,301,371,442,513,482,451,421,390,359
Mujeres,5.00,4,5,5,6,6,7,9,11,13,15,16,18,20,22,24,25,35,45,55,65,75,85,96,107,117,128,131,134,137,141,144,205,267,328,390,451,425,399,373,347,322
Mujeres,6.00,4,4,5,5,5,6,7,8,9,10,11,13,15,16,18,19,28,37,46,55,64,73,83,93,103,113,116,119,123,126,129,182,235,287,340,393,371,350,329,307,286
Mujeres,7.00,3,4,4,4,5,5,6,6,7,7,8,9,11,12,13,15,23,30,38,46,54,63,71,80,89,98,101,105,109,112,116,160,205,249,294,338,321,304,287,270,252
Mujeres,8.00,3,3,4,4,5,5,5,5,6,6,6,7,8,9,10,11,18,25,32,38,45,53,61,68,76,84,88,92,95,99,103,140,177,214,252,289,275,262,248,235,221
Mujeres,9.00,2,3,4,4,5,6,6,5,5,5,5,6,6,7,8,9,15,20,26,32,38,44,51,58,64,71,75,79,84,88,92,123,153,184,214,244,234,223,213,202,192
Mujeres,10.00,2,3,4,5,6,6,6,6,6,5,5,6,6,7,7,7,12,17,22,27,32,37,43,48,53,59,64,68,73,78,83,107,132,157,181,206,198,190,182,174,166
Mujeres,11.00,1,2,4,5,6,7,7,7,7,7,6,7,7,7,7,7,11,15,19,23,27,31,35,39,44,48,53,59,64,69,75,94,114,133,153,173,167,160,154,148,142
Mujeres,12.00,1,3,4,6,7,9,9,8,8,8,8,8,8,8,7,7,11,14,17,21,24,27,31,34,37,41,46,52,58,64,70,86,101,117,132,148,143,137,132,127,121
Mujeres,13.00,2,4,5,7,9,10,10,10,10,10,10,10,9,9,9,9,12,15,18,21,24,27,30,33,36,38,45,51,58,64,71,83,96,108,120,133,127,122,116,110,105
Mujeres,14.00,4,5,7,9,10,12,12,12,12,12,11,11,11,11,11,11,14,17,20,23,27,29,32,35,38,40,47,54,62,69,76,86,96,106,116,127,120,113,106,98,91
Mujeres,15.00,5,7,9,10,12,14,14,14,14,14,14,14,14,14,14,14,17,20,23,26,30,32,35,37,40,43,50,58,66,74,81,90,99,108,116,125,116,108,99,90,81
Mujeres,16.00,7,9,11,12,14,16,16,16,16,16,16,16,16,17,17,17,20,23,26,30,33,35,38,40,43,45,54,62,70,79,87,95,102,110,118,126,115,105,94,84,73
Mujeres,17.00,8,10,11,13,15,17,17,17,18,18,18,19,19,19,20,20,24,27,31,35,38,41,44,47,50,53,62,71,80,89,98,107,116,125,134,144,129,115,101,86,72
Mujeres,18.00,7,9,11,13,15,17,18,18,19,19,20,20,21,22,22,23,28,32,37,42,46,50,54,58,62,66,76,86,96,106,116,129,143,157,170,184,163,141,120,99,78
Mujeres,19.00,6,8,10,12,14,16,17,18,19,20,21,22,23,24,24,25,32,38,44,50,56,61,67,72,77,83,94,105,116,126,137,158,178,198,218,239,209,179,149,119,90
Mujeres,20.00,4,7,9,11,13,15,17,18,19,21,22,23,24,26,27,28,35,43,50,58,65,72,79,86,92,99,111,123,135,147,159,186,213,239,266,293,255,217,179,141,103
Mujeres,21.00,3,5,8,10,12,15,16,18,19,21,23,24,26,27,29,30,39,48,57,66,75,83,92,100,108,117,129,142,155,168,181,214,248,282,316,349,303,256,210,163,117
Mujeres,22.00,2,4,7,9,11,14,16,18,20,22,24,25,27,29,31,33,43,53,62,72,82,91,101,110,119,129,142,156,170,183,197,237,278,318,359,399,346,294,241,188,135
Mujeres,23.00,2,4,7,9,11,13,15,18,20,22,24,26,29,31,33,36,45,55,65,75,85,94,104,113,123,132,146,161,175,190,204,251,297,344,390,437,381,325,270,214,159
Mujeres,24.00,3,5,7,9,11,13,15,18,20,22,25,27,30,33,35,38,47,57,66,75,85,94,102,111,120,129,145,160,175,190,205,257,309,361,412,464,409,353,297,241,185
Mujeres,25.00,4,5,7,9,11,13,15,17,20,22,25,28,31,34,37,40,49,58,67,75,84,93,101,110,119,127,143,158,174,190,205,263,320,377,434,492,435,379,323,267,211
