2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0.003866273,0.003454739,0.003014435,0.002579489,0.002174151,0.001812715,0.001501113,0.001239226,0.001023181,0.000847213,0.000704987,0.000590409,0.000498047,0.000423289,0.000362354,0.00031221,0.000270475,0.000235307,0.000205298,0.000179394,0.000156812,0.000136983,0.000119491,0.000104036,9.03911E-05,7.8378E-05,6.78454E-05,5.86558E-05,5.06782E-05,4.37851E-05,3.78523E-05,3.27607E-05,2.83981E-05,2.46612E-05,2.14568E-05
0.003129708,0.002672838,0.002295506,0.001987383,0.001735808,0.001528243,0.001353532,0.00120245,0.001067902,0.000944917,0.000830515,0.000723419,0.000623623,0.000531875,0.000449145,0.000376199,0.000313342,0.000260346,0.000216511,0.000180823,0.00015211,0.000129188,0.000110947,9.64077E-05,8.47358E-05,7.52401E-05,6.73586E-05,6.06434E-05,5.4747E-05,4.94117E-05,4.44604E-05,3.9788E-05,3.53493E-05,3.11449E-05,2.72042E-05
0.002730932,0.002313311,0.001996061,0.001757507,0.001577744,0.001439603,0.001328641,0.001232934,0.001143034,0.001052182,0.000956592,0.000855539,0.00075098,0.000646679,0.000547028,0.000455923,0.000376018,0.000308474,0.000253135,0.000208926,0.000174286,0.000147521,0.000127024,0.00011139,9.94378E-05,9.01984E-05,8.28815E-05,7.68427E-05,7.15607E-05,6.66284E-05,6.17531E-05,5.67604E-05,5.15929E-05,4.62962E-05,4.0991E-05
0.002375339,0.002063824,0.001822594,0.001638395,0.001497888,0.001388743,0.001299978,0.001222086,0.001147245,0.00106967,0.000985999,0.000895479,0.000799748,0.000702168,0.000606851,0.000517674,0.00043756,0.000368149,0.000309851,0.000262126,0.000223845,0.000193612,0.000169996,0.000151662,0.000137431,0.00012629,0.000117373,0.00010995,0.000103408,9.72538E-05,9.11196E-05,8.47744E-05,7.81267E-05,7.1214E-05,6.41738E-05
0.002063313,0.001852379,0.001680551,0.00154322,0.001433853,0.00134527,0.001270355,0.001202536,0.001136197,0.001067092,0.00099271,0.000912447,0.000827478,0.00074032,0.000654161,0.000572163,0.000496901,0.000430058,0.000372377,0.000323803,0.000283708,0.00025113,0.000224966,0.000204098,0.000187465,0.000174104,0.00016315,0.000153843,0.00014553,0.000137672,0.000129858,0.00012182,0.000113439,0.000104732,9.58307E-05
0.001852437,0.001686816,0.001555224,0.001453423,0.001375657,0.001315521,0.001266457,0.001222124,0.001176807,0.001125915,0.001066479,0.000997497,0.00091997,0.000836544,0.00075085,0.000666725,0.000587529,0.000515713,0.000452679,0.00039887,0.000353994,0.000317281,0.000287702,0.000264129,0.000245438,0.000230558,0.000218493,0.00020833,0.000199258,0.000190581,0.00018175,0.000172389,0.000162315,0.000151534,0.000140217
0.001683453,0.001563079,0.001467219,0.001393658,0.001338514,0.001296955,0.001263665,0.001233219,0.001200524,0.001161324,0.001112727,0.001053589,0.000984628,0.000908175,0.000827625,0.000746739,0.000668988,0.000597097,0.000532839,0.000477058,0.000429828,0.000390672,0.000358771,0.000333124,0.000312659,0.000296299,0.000283001,0.000271773,0.000261709,0.000252011,0.000242033,0.000231319,0.00021963,0.000206946,0.000193446
0.001681313,0.001575671,0.00149177,0.001427668,0.001379911,0.001344122,0.0013154,0.001288698,0.001259232,0.00122298,0.00117717,0.001120655,0.00105403,0.000979425,0.000900027,0.000819444,0.000741101,0.000667787,0.000601427,0.000543065,0.000492977,0.000450863,0.000416032,0.000387566,0.000364433,0.000345562,0.000329897,0.000316423,0.000304209,0.00029244,0.000280458,0.000267802,0.000254228,0.000239718,0.000224446
0.00183894,0.00171848,0.001624459,0.001553806,0.001502123,0.001464204,0.001434389,0.001406899,0.00137627,0.001337883,0.00128853,0.00122684,0.001153438,0.00107072,0.00098231,0.000892333,0.000804711,0.000722639,0.000648315,0.000582923,0.000526767,0.000479492,0.000440304,0.000408158,0.000381889,0.000360304,0.000342235,0.000326577,0.000312328,0.000298625,0.000284785,0.000270343,0.000255071,0.000238973,0.000222256
0.002151115,0.00200235,0.001882993,0.001789006,0.001715273,0.001656102,0.001605593,0.001557986,0.001508075,0.001451668,0.001386023,0.001310146,0.001224829,0.001132386,0.001036145,0.000939802,0.000846826,0.000760016,0.000681277,0.000611602,0.00055119,0.00049964,0.000456144,0.000419661,0.000389046,0.000363139,0.000340827,0.000321082,0.000303003,0.00028584,0.000269024,0.000252187,0.00023516,0.000217961,0.000200754
