1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
15041.00,15330.00,15736.00,16115.00,16489.00,16932.00,17505.00,18152.00,18789.00,19406.00,19990.00,20540.00,21060.00,21555.00,22036.00,22467.00,22866.00,23289.00,23724.00,24150.00,24539.00,24946.00,25337.00,25620.00,25768.00,25735.00,25591.00,25468.00,25418.00,25432.00,25516.00,25824.00,26379.00,27064.00,27839.00,28562.00,29207.00,29832.00,30442.00,31023.00,31584.00
14516.00,14717.00,14988.00,15369.00,15719.00,16132.00,16693.00,17317.00,17945.00,18564.00,19160.00,19726.00,20259.00,20760.00,21235.00,21646.00,22010.00,22381.00,22762.00,23150.00,23523.00,23925.00,24343.00,24695.00,24928.00,24989.00,24952.00,24856.00,24733.00,24667.00,24671.00,24896.00,25375.00,25999.00,26731.00,27441.00,28101.00,28741.00,29370.00,30002.00,30595.00
13997.00,14223.00,14409.00,14660.00,15014.00,15403.00,15933.00,16547.00,17156.00,17768.00,18371.00,18953.00,19505.00,20022.00,20506.00,20910.00,21252.00,21591.00,21928.00,22269.00,22609.00,23002.00,23423.00,23805.00,24111.00,24270.00,24326.00,24322.00,24224.00,24090.00,24019.00,24163.00,24554.00,25089.00,25749.00,26413.00,27066.00,27727.00,28369.00,29018.00,29658.00
13530.00,13727.00,13938.00,14107.00,14335.00,14729.00,15235.00,15819.00,16421.00,17017.00,17616.00,18208.00,18779.00,19317.00,19821.00,20235.00,20569.00,20890.00,21201.00,21504.00,21803.00,22171.00,22589.00,22978.00,23319.00,23562.00,23715.00,23792.00,23784.00,23678.00,23542.00,23611.00,23917.00,24352.00,24914.00,25505.00,26118.00,26776.00,27438.00,28097.00,28752.00
13107.00,13278.00,13462.00,13658.00,13807.00,14078.00,14587.00,15148.00,15722.00,16313.00,16899.00,17488.00,18070.00,18628.00,19155.00,19589.00,19933.00,20251.00,20550.00,20833.00,21102.00,21435.00,21832.00,22221.00,22573.00,22862.00,23100.00,23267.00,23339.00,23323.00,23216.00,23221.00,23448.00,23788.00,24240.00,24734.00,25281.00,25904.00,26561.00,27236.00,27899.00
12720.00,12866.00,13027.00,13198.00,13376.00,13571.00,13957.00,14520.00,15072.00,15637.00,16220.00,16797.00,17378.00,17949.00,18498.00,18956.00,19322.00,19653.00,19953.00,20230.00,20485.00,20790.00,21155.00,21527.00,21884.00,22194.00,22479.00,22725.00,22885.00,22951.00,22934.00,22967.00,23126.00,23377.00,23727.00,24115.00,24571.00,25131.00,25750.00,26418.00,27094.00
12354.00,12488.00,12627.00,12777.00,12933.00,13157.00,13465.00,13905.00,14460.00,15005.00,15562.00,16136.00,16706.00,17277.00,17839.00,18321.00,18715.00,19070.00,19389.00,19672.00,19925.00,20218.00,20556.00,20900.00,21244.00,21568.00,21875.00,22165.00,22404.00,22559.00,22624.00,22744.00,22925.00,23100.00,23355.00,23642.00,23999.00,24470.00,25025.00,25653.00,26319.00
12011.00,12132.00,12260.00,12390.00,12528.00,12731.00,13064.00,13425.00,13858.00,14407.00,14943.00,15493.00,16060.00,16621.00,17183.00,17682.00,18103.00,18489.00,18835.00,19139.00,19403.00,19694.00,20021.00,20342.00,20662.00,20980.00,21303.00,21613.00,21896.00,22130.00,22285.00,22484.00,22746.00,22935.00,23107.00,23302.00,23565.00,23937.00,24402.00,24964.00,25588.00
11714.00,11794.00,11911.00,12034.00,12156.00,12340.00,12648.00,13032.00,13386.00,13813.00,14354.00,14884.00,15427.00,15985.00,16537.00,17041.00,17484.00,17899.00,18277.00,18611.00,18899.00,19200.00,19524.00,19837.00,20139.00,20439.00,20756.00,21079.00,21383.00,21663.00,21897.00,22181.00,22515.00,22780.00,22961.00,23078.00,23255.00,23534.00,23899.00,24368.00,24923.00
11427.00,11503.00,11581.00,11695.00,11812.00,11979.00,12263.00,12619.00,12997.00,13345.00,13766.00,14300.00,14823.00,15358.00,15907.00,16405.00,16858.00,17296.00,17704.00,18072.00,18392.00,18716.00,19050.00,19364.00,19662.00,19948.00,20248.00,20564.00,20881.00,21183.00,21463.00,21821.00,22233.00,22564.00,22817.00,22948.00,23054.00,23246.00,23516.00,23882.00,24343.00
