V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
0.102781641,0.09862754,0.094832832,0.091387191,0.088214692,0.085206752,0.082256422,0.079286704,0.076267137,0.073215789,0.070187944,0.067256466,0.0644906,0.061939001,0.059620227,0.05752126,0.05560279,0.053809144,0.052080515,0.05036498,0.048627931,0.046856977,0.045061489,0.043267353,0.041508787,0.039819589,0.038225954,0.036742127,0.035369214,0.034096722,0.03290605,0.031774942,0.030682007,0.029610442,0.028550356
0.099744365,0.095227862,0.091224694,0.087653313,0.084389518,0.081296522,0.078253819,0.075179606,0.072042355,0.068859527,0.065684947,0.062589558,0.059641585,0.056891107,0.054361687,0.052049213,0.049926545,0.047951849,0.046078487,0.044264443,0.042479556,0.040709349,0.038954972,0.037229752,0.035553641,0.033947192,0.032426523,0.031000202,0.029668299,0.028423353,0.027252682,0.026141333,0.025075032,0.02404254,0.023037045
0.096562692,0.091647316,0.087445901,0.083785336,0.080475583,0.077337622,0.074227953,0.071055868,0.067789963,0.064452496,0.061103635,0.057820536,0.054677127,0.051729152,0.049006529,0.04651268,0.044229069,0.042122741,0.040154837,0.038288434,0.036494484,0.034755083,0.03306386,0.03142389,0.029844036,0.028334828,0.026904924,0.025558799,0.024295888,0.02311104,0.021995887,0.020940661,0.019935989,0.018974312,0.01805068
0.091749416,0.086402025,0.081977566,0.078202021,0.074819718,0.071614548,0.068426531,0.065161307,0.061789937,0.058338487,0.054869833,0.051462445,0.048191231,0.045114074,0.042265314,0.039655402,0.037274862,0.035100473,0.033101963,0.031247996,0.02951073,0.027868582,0.026307191,0.024818837,0.023400798,0.02205325,0.020777252,0.019573222,0.018440086,0.017375095,0.016374149,0.015432406,0.014544954,0.013707374,0.012916068
0.085809983,0.080203207,0.075638765,0.07177699,0.068329485,0.065070016,0.061841017,0.058554303,0.055184628,0.051756365,0.048325724,0.044962158,0.041732497,0.038690066,0.035869338,0.033285315,0.030936128,0.028807301,0.026876425,0.02511745,0.023504156,0.022012644,0.020622859,0.019319232,0.018090615,0.016929695,0.01583212,0.014795525,0.013818618,0.012900458,0.012039942,0.011235524,0.010485122,0.009786152,0.009135653
0.080534434,0.074954606,0.070439206,0.066627062,0.06322334,0.060005201,0.056823268,0.053597861,0.050309245,0.046982742,0.043671179,0.040437871,0.037342837,0.034433721,0.031741519,0.029280197,0.027048881,0.025035346,0.02321982,0.021578508,0.02008654,0.018720221,0.01745861,0.016284449,0.015184523,0.014149534,0.013173589,0.012253429,0.011387548,0.010575344,0.009816388,0.009109909,0.008454495,0.007848005,0.007287641
0.075629815,0.070303491,0.066013292,0.062400678,0.05917243,0.056108033,0.053062418,0.049962509,0.046796614,0.043597848,0.040424765,0.037343106,0.034411756,0.031674333,0.029156108,0.026864962,0.024794676,0.022929146,0.021246519,0.019722705,0.01833405,0.017059171,0.015880011,0.014782269,0.013755314,0.01279174,0.01188671,0.01103721,0.010241321,0.009497618,0.008804702,0.00816092,0.007564227,0.007012179,0.006502001
0.068532674,0.063502635,0.05947291,0.056090429,0.053068231,0.050192949,0.047327584,0.044407575,0.041429084,0.038430992,0.035474382,0.032623902,0.029934231,0.027442809,0.025168128,0.023111886,0.021263106,0.019602746,0.018107865,0.016754907,0.015521985,0.014390245,0.01334444,0.012372932,0.011467269,0.010621544,0.009831682,0.009094765,0.008408475,0.007770703,0.007179302,0.00663197,0.006126238,0.0056595,0.005229087
0.059447933,0.054798071,0.051088254,0.047982506,0.045210733,0.042575054,0.039951728,0.037286416,0.034581686,0.031878482,0.029235674,0.026712211,0.024354953,0.022192956,0.020237135,0.018483326,0.016916822,0.015516979,0.014261089,0.013127222,0.012096008,0.011151512,0.010281381,0.0094765,0.008730356,0.008038301,0.007396863,0.006803186,0.006254659,0.005748696,0.005282664,0.004853892,0.004459728,0.004097595,0.003765044
0.051341924,0.047049294,0.043645336,0.040810422,0.038289026,0.03589547,0.033515744,0.031102748,0.028663589,0.026240734,0.023891441,0.021670305,0.019618007,0.0177568,0.016091304,0.014612371,0.013302032,0.012138147,0.011098083,0.010161228,0.009310373,0.008532178,0.007816933,0.007157889,0.006550399,0.005991074,0.005477098,0.005005779,0.004574321,0.004179788,0.00381918,0.00348956,0.00318817,0.002912516,0.002660392
