Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,22,15475.00,15766.00,16078.00,16287.00,16754.00,17219.00,17646.00,18127.00,18578.00,19023.00,19445.00,19998.00,20690.00,21345.00,21965.00,22555.00,23124.00,23692.00,24260.00,24841.00,25448.00,26004.00,26598.00,27150.00,27650.00,28060.00,28327.00,28562.00,28652.00,28607.00,28531.00,28340.00,28414.00,28600.00,28867.00,29119.00,29404.00,29954.00,30568.00,31294.00,32061.00,32692.00,33227.00,33725.00,34195.00,34421.00,34488.00
Hombres,23,14851.00,15103.00,15381.00,15673.00,15864.00,16311.00,16757.00,17163.00,17619.00,18039.00,18446.00,18990.00,19674.00,20329.00,20949.00,21534.00,22088.00,22625.00,23158.00,23689.00,24231.00,24725.00,25269.00,25800.00,26280.00,26730.00,27063.00,27386.00,27546.00,27627.00,27491.00,27247.00,27233.00,27320.00,27491.00,27694.00,27962.00,28524.00,29185.00,29938.00,30709.00,31355.00,31963.00,32455.00,33008.00,33469.00,33736.00
Hombres,24,14305.00,14526.00,14767.00,15026.00,15300.00,15478.00,15907.00,16332.00,16716.00,17142.00,17526.00,18049.00,18720.00,19373.00,19999.00,20590.00,21145.00,21673.00,22182.00,22684.00,23183.00,23614.00,24093.00,24582.00,25051.00,25479.00,25856.00,26255.00,26505.00,26654.00,26643.00,26367.00,26269.00,26266.00,26342.00,26464.00,26678.00,27219.00,27877.00,28649.00,29440.00,30074.00,30716.00,31282.00,31830.00,32376.00,32873.00
Hombres,25,13836.00,14020.00,14232.00,14455.00,14698.00,14957.00,15125.00,15534.00,15937.00,16293.00,16684.00,17180.00,17829.00,18474.00,19104.00,19707.00,20273.00,20807.00,21313.00,21797.00,22274.00,22659.00,23073.00,23505.00,23942.00,24358.00,24720.00,25172.00,25502.00,25737.00,25799.00,25670.00,25512.00,25423.00,25412.00,25451.00,25581.00,26067.00,26691.00,27437.00,28240.00,28883.00,29531.00,30132.00,30752.00,31294.00,31873.00
Hombres,26,13404.00,13583.00,13759.00,13954.00,14163.00,14392.00,14640.00,14794.00,15181.00,15557.00,15881.00,16382.00,17003.00,17631.00,18258.00,18869.00,19451.00,20001.00,20517.00,21003.00,21467.00,21825.00,22194.00,22568.00,22956.00,23343.00,23702.00,24148.00,24538.00,24851.00,25005.00,24972.00,24932.00,24780.00,24685.00,24648.00,24694.00,25097.00,25653.00,26345.00,27116.00,27765.00,28437.00,29044.00,29695.00,30309.00,30881.00
Hombres,27,13036.00,13175.00,13346.00,13508.00,13690.00,13887.00,14107.00,14339.00,14478.00,14841.00,15186.00,15620.00,16245.00,16849.00,17462.00,18073.00,18668.00,19237.00,19772.00,20271.00,20740.00,21080.00,21423.00,21758.00,22097.00,22440.00,22777.00,23227.00,23619.00,23991.00,24231.00,24309.00,24342.00,24301.00,24146.00,24034.00,24003.00,24322.00,24785.00,25393.00,26105.00,26721.00,27411.00,28042.00,28696.00,29339.00,29977.00
Hombres,28,12750.00,12821.00,12954.00,13112.00,13262.00,13435.00,13624.00,13829.00,14046.00,14167.00,14502.00,14956.00,15513.00,16124.00,16717.00,17317.00,17915.00,18500.00,19057.00,19577.00,20064.00,20405.00,20732.00,21047.00,21354.00,21653.00,21953.00,22388.00,22790.00,23166.00,23472.00,23652.00,23778.00,23806.00,23761.00,23594.00,23489.00,23732.00,24102.00,24602.00,25225.00,25785.00,26451.00,27101.00,27774.00,28420.00,29084.00
Hombres,29,12433.00,12544.00,12611.00,12733.00,12881.00,13024.00,13189.00,13366.00,13558.00,13757.00,13857.00,14299.00,14874.00,15421.00,16022.00,16604.00,17193.00,17783.00,18356.00,18900.00,19410.00,19767.00,20098.00,20403.00,20696.00,20969.00,21234.00,21635.00,22028.00,22414.00,22731.00,22992.00,23207.00,23327.00,23350.00,23296.00,23136.00,23305.00,23590.00,23985.00,24495.00,24972.00,25590.00,26217.00,26904.00,27568.00,28230.00
Hombres,30,12107.00,12227.00,12335.00,12394.00,12509.00,12651.00,12788.00,12944.00,13109.00,13286.00,13466.00,13676.00,14237.00,14803.00,15341.00,15933.00,16506.00,17088.00,17668.00,18230.00,18765.00,19147.00,19496.00,19809.00,20097.00,20362.00,20607.00,20972.00,21337.00,21716.00,22051.00,22336.00,22621.00,22828.00,22942.00,22959.00,22909.00,23024.00,23227.00,23526.00,23928.00,24301.00,24841.00,25420.00,26079.00,26756.00,27431.00
Hombres,31,11794.00,11902.00,12020.00,12121.00,12175.00,12285.00,12423.00,12553.00,12700.00,12853.00,13013.00,13300.00,13629.00,14181.00,14739.00,15270.00,15853.00,16419.00,16992.00,17562.00,18115.00,18527.00,18902.00,19238.00,19539.00,19804.00,20046.00,20389.00,20723.00,21076.00,21411.00,21724.00,22026.00,22303.00,22504.00,22614.00,22634.00,22854.00,22995.00,23204.00,23505.00,23779.00,24218.00,24721.00,25329.00,25977.00,26660.00
Hombres,32,11503.00,11587.00,11695.00,11807.00,11904.00,11956.00,12065.00,12198.00,12321.00,12458.00,12598.00,12864.00,13264.00,13585.00,14131.00,14682.00,15204.00,15781.00,16339.00,16902.00,17464.00,17900.00,18306.00,18672.00,18998.00,19279.00,19526.00,19862.00,20179.00,20504.00,20819.00,21140.00,21465.00,21760.00,22031.00,22229.00,22341.00,22626.00,22866.00,23004.00,23210.00,23394.00,23736.00,24138.00,24666.00,25262.00,25914.00
Hombres,33,11224.00,11292.00,11377.00,11481.00,11591.00,11687.00,11741.00,11847.00,11975.00,12092.00,12219.00,12460.00,12835.00,13228.00,13543.00,14082.00,14625.00,15142.00,15711.00,16259.00,16814.00,17268.00,17700.00,18098.00,18456.00,18765.00,19032.00,19367.00,19681.00,19992.00,20285.00,20592.00,20920.00,21238.00,21528.00,21797.00,21997.00,22365.00,22664.00,22895.00,23027.00,23129.00,23381.00,23687.00,24110.00,24625.00,25221.00
Hombres,34,10954.00,11009.00,11080.00,11163.00,11267.00,11377.00,11476.00,11529.00,11633.00,11757.00,11866.00,12091.00,12435.00,12803.00,13190.00,13500.00,14031.00,14568.00,15078.00,15637.00,16177.00,16633.00,17083.00,17508.00,17900.00,18243.00,18540.00,18891.00,19209.00,19519.00,19804.00,20091.00,20404.00,20724.00,21038.00,21328.00,21598.00,22044.00,22422.00,22706.00,22927.00,22969.00,23138.00,23354.00,23677.00,24087.00,24598.00
Hombres,35,10699.00,10735.00,10795.00,10867.00,10951.00,11057.00,11171.00,11270.00,11325.00,11427.00,11546.00,11747.00,12068.00,12406.00,12769.00,13151.00,13453.00,13979.00,14509.00,15009.00,15560.00,16011.00,16463.00,16906.00,17327.00,17704.00,18035.00,18413.00,18751.00,19068.00,19357.00,19636.00,19926.00,20232.00,20550.00,20865.00,21156.00,21660.00,22111.00,22470.00,22742.00,22889.00,22996.00,23127.00,23356.00,23662.00,24066.00
Hombres,36,10449.00,10478.00,10521.00,10582.00,10656.00,10745.00,10856.00,10972.00,11072.00,11127.00,11227.00,11432.00,11723.00,12038.00,12372.00,12729.00,13105.00,13404.00,13923.00,14444.00,14938.00,15408.00,15854.00,16300.00,16738.00,17144.00,17509.00,17921.00,18289.00,18628.00,18929.00,19210.00,19490.00,19775.00,20079.00,20399.00,20716.00,21226.00,21732.00,22162.00,22508.00,22722.00,22928.00,22995.00,23135.00,23345.00,23641.00
