year,edad,S.x..
2028,38,0.998884462
2028,39,0.998695688
2028,40,0.997980868
2028,41,0.99613896
2028,42,0.999117219
2028,43,0.998653393
2028,44,0.998001571
2028,45,0.997699611
2028,46,0.996503937
2028,47,0.994273495
2028,48,0.99816809
2028,49,0.99742027
2028,50,0.996518141
2028,51,0.99606793
2028,52,0.994175996
2028,53,0.991591117
2028,54,0.996404547
2028,55,0.995228361
2028,56,0.994089366
2028,57,0.992974369
2028,58,0.990253512
2028,59,0.987287044
2028,60,0.993250215
2028,61,0.991406141
2029,0,0.960036601
2029,1,0.960036601
2029,2,0.962961512
2029,3,0.999680931
2029,4,0.999562067
2029,5,0.999475574
2029,6,0.999372041
2029,7,0.99863875
2029,8,0.99993486
2029,9,0.999880344
2029,10,0.999789185
2029,11,0.999745781
2029,12,0.999600728
2029,13,0.999144557
2029,14,0.999867547
2029,15,0.999773874
2029,16,0.999638795
2029,17,0.999582167
2029,18,0.999333023
2029,19,0.998738762
2029,20,0.999724977
2029,21,0.999602905
2029,22,0.999415626
2029,23,0.999372048
2029,24,0.998831887
2029,25,0.997717758
2029,26,0.999690461
2029,27,0.999515041
2029,28,0.999286383
2029,29,0.999118439
2029,30,0.998222037
2029,31,0.996708224
2029,32,0.999578962
2029,33,0.999298305
2029,34,0.999048784
2029,35,0.998622882
2029,36,0.997303101
2029,37,0.999533595
2029,38,0.999238226
2029,39,0.998787914
2029,40,0.998584353
2029,41,0.997837538
2029,42,0.99596143
2029,43,0.999010736
2029,44,0.998511464
2029,45,0.997819819
2029,46,0.997495169
2029,47,0.996247878
2029,48,0.993959975
2029,49,0.997959553
2029,50,0.997158188
2029,51,0.996198531
2029,52,0.995711941
2029,53,0.993727111
2029,54,0.991040683
2029,55,0.996021995
2029,56,0.994761095
2029,57,0.993541704
2029,58,0.992347311
2029,59,0.989475555
2029,60,0.986358431
2029,61,0.992565781
2030,0,0.978165037
2030,1,0.978165037
2030,2,0.980957828
2030,3,0.986908388
2030,4,0.999803415
2030,5,0.999674265
2030,6,0.999585095
2030,7,0.999494884
2030,8,0.998888735
2030,9,0.999934267
2030,10,0.999879601
2030,11,0.999787944
2030,12,0.999737838
2030,13,0.999589327
2030,14,0.999154749
2030,15,0.999842283
2030,16,0.999742
2030,17,0.999601126
2030,18,0.999544685
2030,19,0.999279552
2030,20,0.998622221
2030,21,0.999718578
2030,22,0.999592606
2030,23,0.999394431
2030,24,0.999350929
2030,25,0.998765385
2030,26,0.997542993
2030,27,0.999687158
2030,28,0.999501201
2030,29,0.999257914
2030,30,0.999078495
2030,31,0.998138101
2030,32,0.996572895
2030,33,0.999548886
2030,34,0.999249099
2030,35,0.99898312
2030,36,0.998535889
2030,37,0.997183498
2030,38,0.999479805
2030,39,0.999160075
2030,40,0.998680549
2030,41,0.998461009
2030,42,0.9976807
2030,43,0.995767418
2030,44,0.998891282
2030,45,0.99835448
2030,46,0.997620313
2030,47,0.997271081
2030,48,0.995967523
2030,49,0.993615427
2030,50,0.997729267
2030,51,0.996870355
2030,52,0.995848494
2030,53,0.995322923
2030,54,0.993237005
2030,55,0.990438954
2030,56,0.995601532
2030,57,0.994249287
2030,58,0.992943146
2030,59,0.99166279
2030,60,0.988628828
2030,61,0.985348494
2031,0,0.980938196
2031,1,0.980938196
2031,2,0.995068162
2031,3,0.994082932
2031,4,0.993083069
2031,5,0.999847938
2031,6,0.999735933
2031,7,0.999657808
2031,8,0.999562378
2031,9,0.999057163
