"Oaxaca: Tablas de mortalidad por sexo, 1970-2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Hombres,,,,,,,,Mujeres,,,,,,,,Total,,,,,,
year y edad,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x)
,,,,,,,,,,,,,,,,,,,,,,,
104,0.41758971,0.54058012,265,111,205,434,1.6409221,,0.41368476,0.53389768,475,196,368,785,1.65451992,,0.41527659,0.53661635,366,152,283,603,1.64897595
105,0.44966788,0.59723333,154,69,116,230,1.49110981,,0.44658821,0.59165291,278,124,210,417,1.50035482,,0.44783953,0.59391657,214,96,161,320,1.49659833
106,0.48344703,0.66057744,85,41,62,114,1.34135647,,0.48115395,0.65614807,154,74,113,207,1.34717096,,0.48208301,0.6579403,118,57,86,159,1.34481525
107,0.51880106,0.7314745,44,23,31,52,1.17993954,,0.51723243,0.72821996,80,41,57,95,1.18314497,,0.51786646,0.72953415,61,32,43,72,1.18184927
108,0.55554468,0.81090575,21,12,14,21,0.97815209,,0.55461445,0.80881496,39,21,26,38,0.97950959,,0.55498975,0.80965795,29,16,20,29,0.97896148
109,1,0.89998924,9,6,6,6,1.1111244,,1,0.89900406,17,10,11,11,1.11234203,,1,0.89940492,13,8,9,9,1.11184627
,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,
0,0.0240499,0.0245768,100000,2405,97856,7096870,70.96869727,,0.01965725,0.02000146,100000,1966,98279,7665308,76.653076,,0.02190714,0.02233124,100000,2191,98101,7387242,73.87241928
1,0.00157166,0.00157304,97595,153,97509,6999014,71.71487159,,0.0012956,0.00129654,98034,127,97963,7567029,77.18758089,,0.00143627,0.00143743,97809,140,97731,7289141,74.52401898
2,0.00079823,0.00079857,97442,78,97400,6901505,70.82706747,,0.00074636,0.00074666,97907,73,97869,7469065,76.287144,,0.00077283,0.00077315,97669,75,97629,7191410,73.63057689
3,0.00054561,0.00054576,97364,53,97337,6804104,69.88327361,,0.00053725,0.0005374,97834,53,97807,7371197,75.3437735,,0.00054151,0.00054166,97593,53,97566,7093782,72.68716148
4,0.00046683,0.00046694,97311,45,97288,6706767,68.92115581,,0.00045121,0.00045131,97782,44,97760,7273389,74.38401052,,0.00045917,0.00045928,97540,45,97518,6996215,71.72627844
5,0.00039054,0.00039062,97265,38,97246,6609479,67.95311185,,0.00037916,0.00037923,97738,37,97719,7175630,73.41736264,,0.00038497,0.00038504,97496,38,97477,6898697,70.75899872
6,0.00036301,0.00036308,97227,35,97210,6512233,66.97946554,,0.00033454,0.0003346,97700,33,97684,7077911,72.44502034,,0.00034907,0.00034913,97458,34,97441,6801220,69.78605647
7,0.00035165,0.00035171,97192,34,97175,6415023,66.0036073,,0.00030468,0.00030473,97668,30,97653,6980227,71.46909718,,0.00032864,0.0003287,97424,32,97408,6703779,68.81025081
8,0.00035163,0.00035169,97158,34,97141,6317848,65.02664963,,0.00028744,0.00028748,97638,28,97624,6882574,70.4907269,,0.00032014,0.00032019,97392,31,97377,6606371,67.83270783
9,0.0003626,0.00036267,97124,35,97106,6220708,64.04934701,,0.00028091,0.00028095,97610,27,97596,6784950,69.51085073,,0.00032245,0.0003225,97361,31,97345,6508994,66.85427075
