"Oaxaca: Tablas de mortalidad por sexo, 1970-2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Hombres,,,,,,,,Mujeres,,,,,,,,Total,,,,,,
year y edad,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x)
,,,,,,,,,,,,,,,,,,,,,,,
38,0.00601697,0.00603514,81843,492,81597,2890437,35.31678657,,0.00299926,0.00300377,87325,262,87194,3414821,39.10462812,,0.00447558,0.00448562,84559,378,84369,3144561,37.18786557
39,0.00620821,0.00622756,81351,505,81098,2808841,34.52754914,,0.00315013,0.0031551,87063,274,86926,3327627,38.22076263,,0.00464696,0.00465779,84180,391,83985,3060191,36.35280479
40,0.00641613,0.0064368,80846,519,80586,2727743,33.74012219,,0.00331202,0.00331752,86789,287,86645,3240701,37.33996419,,0.0048325,0.00484421,83789,405,83587,2976207,35.52019084
41,0.00664023,0.00666237,80327,533,80060,2647157,32.95477577,,0.00348865,0.00349475,86502,302,86351,3154055,36.46238538,,0.00503387,0.00504658,83384,420,83174,2892620,34.69024964
42,0.00688647,0.00691029,79794,549,79518,2567097,32.17172709,,0.00368303,0.00368983,86200,317,86041,3067705,35.58828581,,0.00525517,0.00526903,82965,436,82746,2809446,33.86323176
43,0.00715927,0.00718502,79244,567,78960,2487578,31.39134984,,0.00389581,0.00390342,85882,335,85715,2981664,34.71799591,,0.00549901,0.00551419,82529,454,82301,2726700,33.03948983
44,0.00745809,0.00748604,78677,587,78383,2408618,30.61410842,,0.00412926,0.00413781,85548,353,85371,2895949,33.85182541,,0.00576614,0.00578283,82075,473,81838,2644398,32.21941689
45,0.00778658,0.00781705,78090,608,77786,2330235,29.84039444,,0.00438683,0.00439648,85195,374,85008,2810578,32.99011627,,0.00606017,0.00607861,81601,495,81354,2562561,31.40337893
46,0.00814882,0.0081822,77482,631,77166,2252450,29.07065367,,0.00466828,0.00467921,84821,396,84623,2725570,32.13327449,,0.0063827,0.00640316,81107,518,80848,2481207,30.59180356
47,0.00854596,0.00858269,76851,657,76522,2175284,28.30538907,,0.00497692,0.00498935,84425,420,84215,2640947,31.2816419,,0.00673604,0.00675883,80589,543,80317,2400359,29.78510782
48,0.00898269,0.00902328,76194,684,75851,2098762,27.54506731,,0.00531792,0.00533211,84005,447,83781,2556733,30.43560814,,0.00712479,0.00715029,80046,570,79761,2320041,28.98371503
49,0.00945799,0.009503,75509,714,75152,2022911,26.79021366,,0.00568519,0.00570141,83558,475,83320,2472952,29.59565678,,0.00754522,0.00757383,79476,600,79176,2240280,28.18811611
50,0.00998263,0.01003279,74795,747,74421,1947759,26.04124798,,0.00609426,0.00611291,83083,506,82829,2389632,28.76201956,,0.00801064,0.0080429,78876,632,78560,2161105,27.39862205
51,0.01054612,0.01060212,74049,781,73657,1873338,25.29879615,,0.00653507,0.00655652,82577,540,82306,2306802,27.93531499,,0.00851074,0.00854717,78245,666,77911,2082545,26.61584274
52,0.01116776,0.01123059,73268,818,72858,1799681,24.56312407,,0.00701766,0.0070424,82037,576,81749,2224496,27.11578976,,0.00906007,0.00910136,77579,703,77227,2004633,25.84002199
53,0.01184308,0.01191377,72449,858,72019,1726823,23.83490092,,0.00754574,0.00757435,81461,615,81153,2142747,26.30389451,,0.00965838,0.00970532,76876,742,76504,1927407,25.07171026
54,0.01257145,0.01265114,71591,900,71140,1654804,23.11458211,,0.00812727,0.00816048,80847,657,80518,2061593,25.5000891,,0.01030942,0.01036293,76133,785,75740,1850903,24.31135549
55,0.01336342,0.01345351,70691,945,70218,1583663,22.40251318,,0.00875203,0.00879055,80189,702,79838,1981076,24.70494209,,0.01101356,0.01107466,75348,830,74933,1775163,23.55940281
56,0.01422082,0.0143229,69747,992,69250,1513445,21.69918511,,0.00944061,0.00948545,79488,750,79112,1901238,23.91866126,,0.01178225,0.01185221,74519,878,74079,1700230,22.81620744
57,0.01515012,0.01526606,68755,1042,68233,1444196,21.00502101,,0.01019002,0.01024229,78737,802,78335,1822126,23.14186221,,0.01261733,0.0126976,73641,929,73175,1626151,22.08228923
58,0.01615278,0.01628466,67713,1094,67165,1375963,20.32047304,,0.0109979,0.01105882,77935,857,77506,1743791,22.37496719,,0.01351792,0.01361012,72711,983,72219,1552976,21.35809337
59,0.01724065,0.017391,66619,1149,66043,1308798,19.64590741,,0.01188899,0.01196023,77078,916,76619,1666285,21.61823134,,0.01450251,0.0146087,71728,1040,71207,1480758,20.64393061
60,0.01840497,0.01857645,65471,1205,64866,1242755,18.98181147,,0.01284757,0.01293081,76161,978,75671,1589666,20.87233872,,0.01555888,0.01568119,70688,1100,70137,1409551,19.94038519
61,0.01966803,0.01986402,64266,1264,63632,1177888,18.32837568,,0.01389401,0.01399144,75183,1045,74659,1513995,20.13749414,,0.01670756,0.01684871,69588,1163,69005,1339414,19.24765703
62,0.02102655,0.02125076,63002,1325,62337,1114257,17.68609286,,0.0150341,0.01514826,74138,1115,73580,1439336,19.41419851,,0.01795055,0.01811362,68426,1228,67810,1270408,18.5662307
63,0.02248587,0.02274253,61677,1387,60981,1051920,17.05525664,,0.01627071,0.01640453,73024,1188,72428,1365756,18.70291609,,0.0192912,0.0194797,67197,1296,66547,1202598,17.8964849
64,0.02404931,0.02434322,60290,1450,59562,990938,16.43612267,,0.01761357,0.01777053,71836,1265,71201,1293328,18.00401171,,0.02073546,0.02095346,65901,1366,65216,1136051,17.23871735
65,0.02574314,0.02608029,58840,1515,58080,931376,15.82886956,,0.019067,0.01925112,70570,1346,69895,1222127,17.31787409,,0.02229756,0.0225499,64535,1439,63812,1070836,16.59318865
66,0.0275516,0.02793826,57326,1579,56532,873296,15.23396718,,0.0206489,0.02086507,69225,1429,68508,1152232,16.64480467,,0.0239795,0.02427169,63096,1513,62336,1007023,15.96025397
67,0.02949843,0.02994226,55746,1644,54920,816764,14.65147874,,0.02235923,0.02261299,67795,1516,67035,1083724,15.98524271,,0.02579128,0.02612971,61583,1588,60785,944687,15.34014114
68,0.03157944,0.03208882,54102,1709,53243,761844,14.08168931,,0.02421907,0.02451717,66279,1605,65474,1016690,15.33944263,,0.02774247,0.02813457,59994,1664,59158,883902,14.73307793
69,0.03380894,0.03439368,52393,1771,51503,708601,13.52466477,,0.02623478,0.02658505,64674,1697,63822,951216,14.70781108,,0.02984362,0.03029801,58330,1741,57455,824744,14.13927261
70,0.03620623,0.03687794,50622,1833,49700,657099,12.98052389,,0.028416,0.02882755,62978,1790,62078,887394,14.09065172,,0.03211109,0.03263796,56589,1817,55676,767289,13.55891698
71,0.03877637,0.03954819,48789,1892,47837,607399,12.44948729,,0.03076886,0.03125216,61188,1883,60242,825316,13.48820893,,0.03454806,0.03515895,54772,1892,53820,711613,12.99225537
72,0.04152418,0.04241094,46897,1947,45917,559562,11.9316701,,0.03331802,0.03388571,59305,1976,58312,765074,12.90061056,,0.03717275,0.03788127,52880,1966,51891,657792,12.4393873
73,0.04446065,0.04547933,44950,1998,43943,513645,11.42707899,,0.0360831,0.03675019,57329,2069,56289,706762,12.32811193,,0.0400001,0.04082209,50914,2037,49889,605902,11.90046395
74,0.04760742,0.04877796,42951,2045,41921,469702,10.93568545,,0.03907045,0.03985418,55261,2159,54174,650474,11.77099806,,0.04304418,0.04399805,48878,2104,47818,556013,11.37562621
75,0.05096649,0.05231117,40907,2085,39855,427782,10.45753918,,0.04229001,0.04321027,53102,2246,51971,596300,11.22940077,,0.04631355,0.04742033,46774,2166,45682,508195,10.86498024
76,0.05455826,0.05610301,38822,2118,37753,387927,9.99252871,,0.04576927,0.04684978,50856,2328,49683,544329,10.70334249,,0.04983012,0.05111448,44607,2223,43487,462513,10.36852318
77,0.05840607,0.06018117,36704,2144,35621,350174,9.54058035,,0.04950658,0.05077404,48528,2402,47317,494646,10.1929287,,0.05360834,0.05509878,42385,2272,41238,419026,9.88628521
78,0.062521,0.06456092,34560,2161,33468,314553,9.101669,,0.05352946,0.05501543,46126,2469,44880,447329,9.6980066,,0.05766311,0.05939243,40112,2313,38944,377788,9.4182313
79,0.06691132,0.06925503,32399,2168,31303,281085,8.67567789,,0.05784395,0.05958436,43657,2525,42382,402449,9.21847677,,0.06200525,0.06401093,37799,2344,36615,338844,8.96425504
80,0.07158023,0.07427131,30231,2164,29136,249782,8.26236542,,0.06250697,0.06454596,41131,2571,39832,360067,8.75405507,,0.06666554,0.06899167,35456,2364,34260,302229,8.52412915
81,0.07657625,0.07966705,28067,2149,26978,220646,7.86131313,,0.06749947,0.06988556,38560,2603,37244,320235,8.30474951,,0.07165341,0.07435013,33092,2371,31892,267968,8.0976815
82,0.081877,0.08542391,25918,2122,24842,193668,7.47231116,,0.07285656,0.07564699,35958,2620,34631,282991,7.87012134,,0.07698008,0.08010447,30721,2365,29523,236077,7.68457835
83,0.08755265,0.09162489,23796,2083,22738,168826,7.09472743,,0.07861704,0.08187952,33338,2621,32010,248360,7.44977375,,0.08270055,0.0863213,28356,2345,27167,206554,7.28433059
84,0.09355205,0.09822167,21713,2031,20680,146088,6.72824809,,0.0847661,0.08857562,30717,2604,29396,216350,7.04334562,,0.08878207,0.09297319,26011,2309,24838,179388,6.89663083
85,0.10007818,0.10544739,19681,1970,18679,125407,6.37189343,,0.09146617,0.09592315,28113,2571,26807,186955,6.65005338,,0.09540508,0.10026804,23702,2261,22552,154549,6.52062414
86,0.10717992,0.1133702,17712,1898,16745,106728,6.02586988,,0.09876814,0.10399272,25542,2523,24259,160148,6.27001139,,0.1026205,0.10827642,21440,2200,20320,131997,6.15648352
87,0.11491054,0.12206655,15813,1817,14886,89984,5.69036511,,0.10672725,0.11286331,23019,2457,21768,135889,5.90331022,,0.11047773,0.11707073,19240,2126,18157,111677,5.8043665
88,0.12332783,0.13162216,13996,1726,13114,75097,5.36554684,,0.11540315,0.12262327,20562,2373,19352,114121,5.55001528,,0.11903304,0.12673516,17115,2037,16074,93520,5.46437461
89,0.13249443,0.14213335,12270,1626,11438,61983,5.05156114,,0.12486014,0.13337157,18189,2271,17029,94770,5.21016528,,0.12836443,0.13738387,15077,1935,14087,77446,5.13656942
90,0.14247796,0.1537084,10644,1517,9867,50545,4.74853109,,0.13516728,0.14521918,15918,2152,14816,77741,4.88377103,,0.13851899,0.14910226,13142,1820,12209,63358,4.82107537
91,0.15335108,0.16646917,9128,1400,8408,40678,4.45655527,,0.14639826,0.15829054,13767,2015,12732,62925,4.57081439,,0.14959344,0.16204074,11322,1694,10452,51149,4.5178655
92,0.16519155,0.18055298,7728,1277,7071,32270,4.17570625,,0.15863139,0.17272542,11751,1864,10792,50192,4.27124696,,0.16165017,0.17631981,9628,1556,8827,40697,4.2270151
93,0.17808204,0.19611469,6451,1149,5858,25199,3.90602916,,0.17194927,0.18868086,9887,1700,9010,39400,3.98498922,,0.17476225,0.19208375,8072,1411,7344,31870,3.94848785
94,0.19210982,0.21332915,5303,1019,4775,19341,3.64754005,,0.18643828,0.20633349,8187,1526,7398,30390,3.71192945,,0.18903847,0.20953466,6661,1259,6009,24527,3.68216877
95,0.20736624,0.232394,4284,888,3823,14566,3.40022403,,0.20218787,0.22588214,6661,1347,5962,22992,3.45192254,,0.20456159,0.22886186,5402,1105,4828,18517,3.4280127
96,0.22394574,0.25353284,3396,760,2999,10744,3.16403306,,0.21928946,0.24755082,5314,1165,4707,17030,3.2047885,,0.22143705,0.25030543,4297,951,3801,13689,3.18590532
97,0.24194473,0.27699898,2635,638,2302,7744,2.93888257,,0.23783492,0.2715921,4149,987,3633,12323,2.97031006,,0.23972702,0.27407773,3345,802,2926,9888,2.95575063
98,0.26145972,0.30307963,1998,522,1723,5443,2.72464655,,0.25791467,0.29829104,3162,816,2734,8690,2.74822843,,0.25954558,0.3004912,2543,660,2197,6962,2.73728342
99,0.282585,0.33210081,1475,417,1255,3719,2.52114874,,0.27961507,0.32796958,2346,656,2000,5956,2.53823561,,0.28100064,0.32989481,1883,529,1604,4765,2.53026476
100,0.30540966,0.36443304,1058,323,887,2464,2.32814685,,0.30301522,0.3609917,1690,512,1419,3955,2.33995952,,0.30412993,0.36259232,1354,412,1136,3161,2.33446127
101,0.33001358,0.40049783,735,243,606,1577,2.14530239,,0.32818294,0.39776921,1178,387,972,2536,2.15293493,,0.32903351,0.39903608,942,310,777,2025,2.14938942
102,0.35646269,0.44077527,493,176,398,971,1.97212055,,0.35516994,0.43876847,791,281,641,1564,1.97654441,,0.35576952,0.43969873,632,225,512,1248,1.97449295
103,0.384803,0.48581274,317,122,251,573,1.80782527,,0.38400599,0.48451804,510,196,405,924,1.80989445,,0.38437507,0.48511738,407,157,323,737,1.80893623
104,0.41505359,0.53623504,195,81,151,322,1.65108795,,0.41469227,0.53561753,314,130,243,519,1.65154518,,0.41485937,0.53590306,251,104,194,414,1.6513335
105,0.44719845,0.5927562,114,51,86,171,1.49940856,,0.44719378,0.59274775,184,82,139,276,1.49889205,,0.44719594,0.59275165,147,66,111,220,1.49913044
106,0.4811773,0.65619308,63,30,46,85,1.3476255,,0.48143108,0.65668234,102,49,75,137,1.34667458,,0.48131392,0.65645643,81,39,59,109,1.34711348
107,0.51687567,0.72748124,33,17,23,39,1.18410267,,0.51727168,0.72830126,53,27,37,62,1.18315672,,0.5170889,0.72792269,42,22,30,50,1.18359331
108,0.55411468,0.80769348,16,9,11,15,0.98029079,,0.55452147,0.80860622,25,14,17,25,0.97966619,,0.55433368,0.80818476,20,11,14,20,0.97995455
109,1,0.89806129,7,4,5,5,1.11350975,,1,0.89873859,11,7,7,7,1.11267059,,1,0.89842564,9,5,6,6,1.11305817
,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,
0,0.06981625,0.07357254,100000,6982,94894,6304560,63.0456014,,0.05952584,0.06215918,100000,5953,95764,6907088,69.07087997,,0.06479654,0.06796214,100000,6480,95342,6598382,65.98381993
1,0.00976358,0.00981726,93018,908,92510,6209666,66.75740903,,0.00982563,0.00987999,94047,924,93530,6811324,72.42436586,,0.00979409,0.0098481,93520,916,93007,6503040,69.5360973
2,0.00485903,0.00487158,92110,448,91873,6117156,66.41128877,,0.00469095,0.00470264,93123,437,92892,6717795,72.13867592,,0.00477639,0.00478851,92604,442,92370,6410032,69.21952432
3,0.00310565,0.00311058,91663,285,91517,6025283,65.73326424,,0.00284176,0.00284588,92687,263,92552,6624903,71.47645447,,0.00297533,0.00297985,92162,274,92022,6317662,68.54947454
4,0.00235207,0.00235484,91378,215,91270,5933766,64.93651843,,0.00203318,0.00203525,92423,188,92329,6532351,70.67875551,,0.00219446,0.00219687,91888,202,91787,6225640,67.75257803
5,0.00181441,0.00181606,91163,165,91080,5842495,64.08843499,,0.00142201,0.00142302,92235,131,92170,6440021,69.82173232,,0.00162052,0.00162183,91686,149,91612,6133853,66.90048586
6,0.0014857,0.0014868,90998,135,90930,5751415,63.20402061,,0.00112015,0.00112078,92104,103,92052,6347852,68.92044892,,0.00130514,0.00130599,91538,119,91478,6042241,66.00826403
7,0.00127268,0.00127349,90862,116,90805,5660485,62.29731847,,0.00092368,0.00092411,92001,85,91958,6255799,67.99717629,,0.00110038,0.00110098,91418,101,91368,5950763,65.09387331
8,0.00113737,0.00113802,90747,103,90695,5569680,61.376067,,0.00079224,0.00079255,91916,73,91879,6163841,67.05958,,0.00096705,0.00096752,91318,88,91273,5859396,64.16502925
9,0.0010561,0.00105666,90644,96,90596,5478985,60.44538473,,0.00070782,0.00070807,91843,65,91811,6071961,66.11235276,,0.00088431,0.0008847,91229,81,91189,5768122,63.22665608
10,0.00102019,0.00102071,90548,92,90502,5388389,59.50876019,,0.00065644,0.00065666,91778,60,91748,5980151,65.15882739,,0.0008409,0.00084126,91149,77,91110,5676933,62.28217515
11,0.00102486,0.00102539,90455,93,90409,5297888,58.56902186,,0.00063073,0.00063093,91718,58,91689,5888403,64.20130024,,0.00083075,0.0008311,91072,76,91034,5585823,61.33417166
12,0.00106991,0.00107048,90363,97,90314,5207479,57.62859588,,0.0006258,0.000626,91660,57,91631,5796714,63.24150401,,0.00085133,0.0008517,90996,77,90958,5494789,60.38475189
13,0.00115061,0.00115127,90266,104,90214,5117164,56.68978374,,0.00064014,0.00064034,91603,59,91573,5705083,62.28079252,,0.00089944,0.00089984,90919,82,90878,5403831,59.43577732
14,0.00126832,0.00126913,90162,114,90105,5026950,55.75451071,,0.00066858,0.0006688,91544,61,91513,5613510,61.32036594,,0.00097304,0.00097352,90837,88,90793,5312953,58.48883406
15,0.00141686,0.00141786,90048,128,89984,4936845,54.82468052,,0.00071284,0.00071309,91483,65,91450,5521996,60.36105624,,0.00106953,0.0010701,90749,97,90700,5222160,57.54531468
16,0.00159542,0.00159669,89920,143,89849,4846861,53.90176011,,0.00076873,0.00076903,91418,70,91382,5430546,59.40375783,,0.00118602,0.00118672,90652,108,90598,5131460,56.60639174
17,0.00179553,0.00179714,89777,161,89696,4757012,52.98709449,,0.00083374,0.00083409,91347,76,91309,5339164,58.44907406,,0.00131688,0.00131775,90544,119,90484,5040862,55.67301419
18,0.00201497,0.002017,89616,181,89525,4667316,52.08150622,,0.00090893,0.00090934,91271,83,91230,5247854,57.49742902,,0.00146171,0.00146278,90425,132,90359,4950378,54.74576644
19,0.00224564,0.00224817,89435,201,89335,4577791,51.18565146,,0.00098941,0.0009899,91188,90,91143,5156625,56.5492827,,0.00161434,0.00161564,90293,146,90220,4860019,53.82517425
20,0.00248401,0.0024871,89234,222,89123,4488456,50.29973002,,0.00107623,0.00107681,91098,98,91049,5065482,55.60479344,,0.00177372,0.0017753,90147,160,90067,4769799,52.9113986
21,0.00272353,0.00272725,89013,242,88891,4399333,49.4237416,,0.00116704,0.00116772,91000,106,90947,4974433,54.66416289,,0.00193564,0.00193751,89987,174,89900,4679733,52.00452721
22,0.00296262,0.00296702,88770,263,88639,4310442,48.5573516,,0.00125935,0.00126014,90894,114,90836,4883486,53.72744852,,0.00209811,0.00210032,89813,188,89719,4589833,51.10441492
23,0.0031955,0.00320062,88507,283,88366,4221803,47.7001512,,0.00135265,0.00135357,90779,123,90718,4792650,52.79456497,,0.00225817,0.00226072,89624,202,89523,4500114,50.2108124
24,0.00342038,0.00342624,88224,302,88073,4133438,46.85146382,,0.00144834,0.00144939,90656,131,90591,4701932,51.86539741,,0.0024158,0.00241873,89422,216,89314,4410591,49.32332222
25,0.00363641,0.00364304,87923,320,87763,4045364,46.01054841,,0.00154186,0.00154305,90525,140,90455,4611341,50.93990005,,0.00256849,0.0025718,89206,229,89091,4321277,48.44155594
26,0.00383947,0.00384686,87603,336,87435,3957602,45.17664864,,0.00163402,0.00163536,90386,148,90312,4520886,50.01779162,,0.00271453,0.00271822,88977,242,88856,4232186,47.56501108
27,0.00403314,0.0040413,87266,352,87090,3870167,44.34884568,,0.00172786,0.00172935,90238,156,90160,4430574,49.09883751,,0.00285703,0.00286111,88735,254,88609,4143329,46.6931188
28,0.00421622,0.00422513,86915,366,86731,3783077,43.52641194,,0.00181952,0.00182118,90082,164,90000,4340414,48.18295487,,0.00299313,0.00299761,88482,265,88349,4054721,45.82547255
29,0.00438942,0.00439908,86548,380,86358,3696346,42.7085902,,0.0019098,0.00191163,89918,172,89832,4250414,47.26987351,,0.00312348,0.00312837,88217,276,88079,3966372,44.96154541
30,0.00455492,0.00456533,86168,392,85972,3609988,41.89467979,,0.00200104,0.00200304,89746,180,89656,4160582,46.35936602,,0.00324988,0.00325517,87941,286,87798,3878293,44.10085617
31,0.00471081,0.00472194,85776,404,85573,3524016,41.08409394,,0.00209156,0.00209375,89567,187,89473,4070926,45.45131656,,0.00337178,0.00337748,87656,296,87508,3790494,43.24301665
32,0.00486362,0.00487549,85372,415,85164,3438442,40.27618462,,0.00218729,0.00218969,89379,195,89282,3981453,44.54553234,,0.0034953,0.00350142,87360,305,87207,3702986,42.38762535
33,0.00501266,0.00502527,84956,426,84743,3353279,39.47058851,,0.00228542,0.00228804,89184,204,89082,3892171,43.64208448,,0.00361729,0.00362385,87055,315,86897,3615779,41.53454965
34,0.00516259,0.00517596,84531,436,84312,3268535,38.66692125,,0.00238661,0.00238946,88980,212,88874,3803089,42.74090874,,0.00374152,0.00374853,86740,325,86577,3528882,40.68352359
35,0.00531306,0.00532722,84094,447,83871,3184223,37.86498608,,0.00249621,0.00249933,88768,222,88657,3714215,41.84196286,,0.00387092,0.00387843,86415,335,86248,3442304,39.83443667
36,0.00546997,0.00548499,83647,458,83418,3100353,37.06457109,,0.00261436,0.00261778,88546,231,88430,3625558,40.94541982,,0.00400808,0.00401613,86081,345,85908,3356056,38.98729
37,0.00563391,0.00564984,83190,469,82955,3016934,36.26568095,,0.00273957,0.00274333,88315,242,88194,3537128,40.05143631,,0.00415226,0.00416091,85736,356,85558,3270148,38.14217227
38,0.00580897,0.00582591,82721,481,82481,2933979,35.4683259,,0.00287637,0.00288051,88073,253,87946,3448934,39.16008855,,0.00430805,0.00431736,85380,368,85196,3184591,37.29912563
39,0.00599933,0.0060174,82241,493,81994,2851498,34.67264564,,0.00302525,0.00302984,87819,266,87686,3360988,38.27161055,,0.0044778,0.00448786,85012,381,84821,3099395,36.45834564
40,0.00620419,0.00622352,81747,507,81493,2769505,33.87889907,,0.00318562,0.0031907,87554,279,87414,3273302,37.3862268,,0.00466082,0.00467172,84631,394,84434,3014573,35.62008593
41,0.00642407,0.00644479,81240,522,80979,2688011,33.08728432,,0.00336555,0.00337123,87275,294,87128,3185888,36.50410849,,0.00486136,0.00487322,84237,410,84032,2930140,34.78454263
42,0.00666976,0.0066921,80718,538,80449,2607033,32.29798421,,0.00356151,0.00356787,86981,310,86826,3098760,35.6256924,,0.0050828,0.00509576,83827,426,83614,2846108,33.95202844
43,0.0069399,0.00696409,80180,556,79901,2526584,31.51149686,,0.00377242,0.00377955,86671,327,86508,3011934,34.7512412,,0.00532388,0.0053381,83401,444,83179,2762493,33.12292921
44,0.00723921,0.00726554,79623,576,79335,2446683,30.72822152,,0.00400749,0.00401554,86344,346,86171,2925426,33.88094162,,0.00559156,0.00560725,82957,464,82725,2679314,32.29754175
45,0.00756332,0.00759207,79047,598,78748,2367348,29.94865007,,0.00426481,0.00427393,85998,367,85815,2839255,33.01525496,,0.0058828,0.00590017,82493,485,82250,2596589,31.47634207
46,0.00792392,0.00795548,78449,622,78138,2288600,29.17308196,,0.00454796,0.00455833,85632,389,85437,2753440,32.1545218,,0.00620488,0.00622421,82008,509,81753,2514339,30.65965104
47,0.00831714,0.00835192,77827,647,77503,2210463,28.40210515,,0.00486107,0.00487292,85242,414,85035,2668004,31.29914466,,0.00655804,0.00657964,81499,534,81232,2432586,29.84795985
48,0.0087526,0.00879113,77180,676,76842,2132959,27.63612301,,0.0051988,0.00521236,84828,441,84607,2582969,30.44959468,,0.00694418,0.0069684,80965,562,80683,2351354,29.04169921
49,0.00922619,0.00926901,76505,706,76151,2056117,26.87573833,,0.00557081,0.00558638,84387,470,84151,2498362,29.60611257,,0.00736596,0.00739322,80403,592,80106,2270671,28.24128794
50,0.00974181,0.00978957,75799,738,75429,1979966,26.12135905,,0.00597574,0.00599367,83917,501,83666,2414210,28.769168,,0.00782484,0.00785561,79810,625,79498,2190564,27.44715009
51,0.0103103,0.01036382,75060,774,74673,1904537,25.3734209,,0.00642031,0.00644101,83415,536,83147,2330545,27.93911585,,0.00832929,0.00836417,79186,660,78856,2111067,26.6596753
52,0.01092677,0.01098691,74286,812,73880,1829865,24.63255399,,0.00690429,0.00692823,82880,572,82593,2247398,27.11642534,,0.00887693,0.00891657,78526,697,78177,2032211,25.87940281
53,0.01159608,0.01166384,73475,852,73048,1755985,23.8991682,,0.00743373,0.0074615,82307,612,82001,2164805,26.30147435,,0.00947327,0.00951843,77829,737,77460,1954034,25.10671857
54,0.01232442,0.012401,72623,895,72174,1682937,23.17370163,,0.00801343,0.00804571,81696,655,81368,2082804,25.49471673,,0.01012363,0.01017522,77092,780,76701,1876574,24.34206162
55,0.01311314,0.01319988,71728,941,71256,1610763,22.45664177,,0.00864741,0.00868502,81041,701,80690,2001436,24.69663356,,0.01083114,0.01089023,76311,827,75897,1799873,23.58590691
56,0.01397182,0.01407034,70787,989,70291,1539506,21.74840269,,0.00933475,0.00937859,80340,750,79964,1920746,23.90770334,,0.01160014,0.01166795,75485,876,75046,1723976,22.8387016
57,0.01489641,0.01500848,69798,1040,69277,1469215,21.04950478,,0.01008032,0.01013147,79590,802,79188,1840781,23.12827463,,0.01243128,0.0125092,74609,927,74145,1648930,22.10088635
58,0.01590161,0.0160294,68758,1093,68210,1399938,20.36026658,,0.01089883,0.01095866,78788,859,78358,1761593,22.3587062,,0.01333903,0.01342879,73682,983,73189,1574785,21.37280629
59,0.01697987,0.01712568,67665,1149,67089,1331728,19.68120147,,0.01178657,0.01185658,77929,919,77469,1683236,21.59957573,,0.01431743,0.01442091,72699,1041,72177,1501596,20.65500848
60,0.01815178,0.01831854,66516,1207,65910,1264639,19.01254618,,0.01275318,0.0128352,77011,982,76518,1605767,20.85124528,,0.01538178,0.01550131,71658,1102,71105,1429419,19.94778533
61,0.01941144,0.01960232,65309,1268,64673,1198728,18.35482239,,0.0138025,0.01389864,76028,1049,75503,1529248,20.11415495,,0.01653051,0.01666866,70556,1166,69971,1358313,19.25162037
62,0.02076617,0.02098482,64041,1330,63374,1134056,17.70830356,,0.01494441,0.0150572,74979,1121,74417,1453746,19.3886845,,0.01777272,0.01793256,69389,1233,68771,1288342,18.56682765
63,0.02222847,0.02247925,62711,1394,62011,1070682,17.07326939,,0.01618407,0.01631646,73859,1195,73259,1379328,18.67526624,,0.01911641,0.01930149,68156,1303,67503,1219571,17.89376146
64,0.02379772,0.02408546,61317,1459,60585,1008671,16.45008557,,0.01753283,0.01768835,72663,1274,72024,1306069,17.97427719,,0.02056667,0.02078111,66853,1375,66163,1152069,17.23277922
65,0.02549371,0.02582431,59858,1526,59092,948086,15.83896341,,0.01900103,0.01918387,71389,1356,70709,1234045,17.28614447,,0.0221376,0.02238632,65478,1450,64751,1085905,16.5841796
66,0.02730555,0.02768528,58332,1593,57532,888995,15.24029691,,0.02058508,0.02079991,70033,1442,69309,1163336,16.61130732,,0.02382248,0.02411082,64029,1525,63263,1021154,15.94834787
67,0.02925731,0.02969384,56739,1660,55905,831463,14.65415245,,0.02231101,0.02256367,68591,1530,67823,1094026,15.94996695,,0.02564496,0.02597952,62504,1603,61699,957891,15.32539586
68,0.03135111,0.03185308,55079,1727,54211,775558,14.08082042,,0.02418319,0.0244804,67061,1622,66247,1026203,15.3025805,,0.02760904,0.02799734,60901,1681,60056,896193,14.71565625
69,0.03359795,0.03417533,53352,1793,52451,721347,13.5204607,,0.02621031,0.02655992,65439,1715,64578,959957,14.66947609,,0.02972457,0.0301753,59219,1760,58335,836137,14.11934684
70,0.03601409,0.0366786,51560,1857,50626,668896,12.97322926,,0.028403,0.02881417,63724,1810,62815,895379,14.05091814,,0.03200725,0.03253068,57459,1839,56534,777802,13.53665515
71,0.03859858,0.03936325,49703,1918,48737,618270,12.43933781,,0.03077208,0.03125548,61914,1905,60956,832564,13.44712658,,0.03446035,0.03506811,55620,1917,54656,721268,12.9678094
72,0.04136107,0.04224078,47784,1976,46789,569533,11.91881301,,0.03335159,0.03392044,60009,2001,59002,771608,12.85826839,,0.03710815,0.03781418,53703,1993,52700,666612,12.41289285
73,0.04432063,0.04533281,45808,2030,44785,522744,11.41163661,,0.03612662,0.03679534,58007,2096,56953,712606,12.28475458,,0.0399516,0.04077158,51710,2066,50670,613911,11.87211608
74,0.04748319,0.04864752,43778,2079,42730,477959,10.91785037,,0.03914038,0.03992696,55912,2188,54810,655653,11.72656998,,0.04301713,0.04396978,49644,2136,48569,563241,11.34549839
