"","year","edad","SxH","SxM"
"252",1978,32,0.994424267535531,0.997006888717256
"253",1979,33,0.994216650712423,0.996888219089376
"254",1980,34,0.994013985284093,0.996771124639276
"255",1981,35,0.993813952428545,0.996653619157606
"256",1982,36,0.993614116490449,0.996533963276282
"257",1983,37,0.993412150004466,0.996410083751905
"258",1984,38,0.993205461232929,0.99627965936085
"259",1985,39,0.992990807538088,0.996140476416758
"260",1986,40,0.99276505984894,0.995990646103187
"261",1987,41,0.992525306243378,0.995828377371032
"262",1988,42,0.992268540795842,0.995651141236049
"263",1989,43,0.991991297892304,0.995457062124834
"264",1990,44,0.991690218277612,0.995244292509994
"265",1991,45,0.991362263989884,0.995009883019866
"266",1992,46,0.991004518577178,0.994752740859982
"267",1993,47,0.99061404611527,0.994470434313872
"268",1994,48,0.99018682575884,0.994158631342553
"269",1995,49,0.989719874023042,0.993816341020514
"270",1996,50,0.989210441228541,0.993442009222835
"271",1997,51,0.988654690753782,0.993030851094804
"272",1998,52,0.988049912340194,0.992580141584658
"273",1999,53,0.987392118885263,0.99208752367102
"274",2000,54,0.986677154158939,0.991548853771813
"275",2001,55,0.985901049437736,0.990960369219753
"276",2002,56,0.985060769398749,0.990318401383833
"277",2003,57,0.984151213498917,0.989618760073943
"278",2004,58,0.983167358384504,0.988855953833533
"279",2005,59,0.982105623273923,0.988025556632939
"280",2006,60,0.980960846038096,0.987122839028898
"281",2007,61,0.979727066138488,0.986140874284808
"282",2008,62,0.978397507689546,0.985073800345266
"283",2009,63,0.976967917868403,0.983916037751119
"284",2010,64,0.975431714562284,0.982658850274743
"285",2011,65,0.97378126905508,0.981295480749883
"286",2012,66,0.972010343317819,0.979818696686178
"287",2013,67,0.970111083422402,0.97821883948536
"288",2014,68,0.968074420978394,0.976486151067237
"289",2015,69,0.965892934618514,0.974611454602094
"290",2016,70,0.963558600608161,0.972584212806359
"291",2017,71,0.961060106834261,0.970393201564305
"292",2018,72,0.958387690167558,0.968027087141661
"293",2019,73,0.955533216180964,0.965471821112493
"294",2020,74,0.952484122097387,0.962712653182388
"295",2021,75,0.949228030207963,0.959736282568645
"296",2022,76,0.945754048431096,0.956529074642858
"297",2023,77,0.942048588070047,0.953074377209557
"298",2024,78,0.938095339996511,0.949357647748007
"299",2025,79,0.933870763461557,0.945370508583779
"300",2026,80,0.92936031032831,0.94109682308489
"301",2027,81,0.924559686961465,0.936510952843164
"302",2028,82,0.919454328781712,0.931595953346679
"303",2029,83,0.914025888982965,0.926335536323965
"304",2030,84,0.908257913788847,0.920700427370363
"305",2031,85,0.902135199262143,0.914670425450161
"306",2032,86,0.895569803888294,0.90817103807023
"307",2033,87,0.888449096383079,0.901098729016009
"308",2034,88,0.880723797255116,0.893401322138187
"309",2035,89,0.872340511101131,0.885022280038702
"310",2036,90,0.863241499901391,0.87590049250851
"311",2037,91,0.85336449127532,0.865970089158405
"312",2038,92,0.842642529074434,0.855160307795833
"313",2039,93,0.831003861767663,0.843395423955449
"314",2040,94,0.818371915443634,0.830594763265957
"315",2041,95,0.804665359784385,0.816672830458491
"316",2042,96,0.789798288461552,0.801539576491642
"317",2043,97,0.773680559628033,0.785100839587749
"318",2044,98,0.756218317354571,0.767258992900186
"319",2045,99,0.737314735733376,0.747913850741029
"320",2046,100,0.716871033330412,0.726963859065704
"321",2047,101,0.694787790511267,0.704307620140218
"322",2048,102,0.670966607056594,0.679845789654728
"323",2049,103,0.64531215278353,0.653483371322054
"324",2050,104,0.617734622947751,0.625132427926309
"325",1970,105,0.588152611628409,0.594715210340018
"326",1971,106,0.556496399953022,0.56216768193246
"327",1972,107,0.522711624342561,0.527443368390203
"328",1973,108,0.486763245220969,0.490517454313538
"329",1974,109,0.448639719852894,0.451390971918131
"330",1975,110,0.656847898752398,0.660749911254039
"331",1976,1,0.920063399064762,0.932349178481222
"332",1977,2,0.952057605490584,0.955801672863649
"333",1978,3,0.982874258036506,0.983065251570922
"334",1979,4,0.990513602423752,0.991142864722933
"335",1980,5,0.993514250835209,0.994311029185429
