sexo,edad,year,Valor
Hombres,7,2021,0.98453621
Hombres,8,2021,0.985639819
Hombres,9,2021,0.986347637
Hombres,10,2021,0.987004767
Hombres,11,2021,0.98945408
Hombres,12,2021,0.98661967
Hombres,13,2021,0.976683779
Hombres,14,2021,0.962269805
Hombres,15,2021,0.948314238
Hombres,16,2021,0.93283763
Hombres,17,2021,0.921849843
Hombres,18,2021,0.919594671
Hombres,19,2021,0.924210892
Hombres,20,2021,0.929046394
Hombres,21,2021,0.935669047
Hombres,22,2021,0.943023924
Hombres,23,2021,0.948908628
Hombres,24,2021,0.953558235
Hombres,25,2021,0.960139736
Hombres,26,2021,0.968721168
Hombres,27,2021,0.975855219
Hombres,28,2021,0.980691825
Hombres,29,2021,0.982753312
Hombres,30,2021,0.985254416
Hombres,31,2021,0.987356907
Hombres,32,2021,0.988726483
Hombres,33,2021,0.99045976
Hombres,34,2021,0.992389304
Hombres,35,2021,0.993306738
Hombres,36,2021,0.993262219
Hombres,37,2021,0.993979186
Hombres,38,2021,0.994723606
Hombres,39,2021,0.995656325
Hombres,40,2021,0.996427032
Hombres,41,2021,0.997154366
Hombres,42,2021,0.99767608
Hombres,43,2021,0.997515699
Hombres,44,2021,0.997443401
Hombres,45,2021,0.997343981
Hombres,46,2021,0.997319844
Hombres,47,2021,0.997310899
Hombres,48,2021,0.997273715
Hombres,49,2021,0.997632811
Hombres,50,2021,0.9976787
Hombres,51,2021,0.997870034
Hombres,52,2021,0.998134923
Hombres,53,2021,0.997905596
Hombres,54,2021,0.998438616
Hombres,55,2021,0.998524379
Hombres,56,2021,0.998642621
Hombres,57,2021,0.998473451
Hombres,58,2021,0.998516693
Hombres,59,2021,0.998622921
Hombres,60,2021,0.998657929
Hombres,61,2021,0
Hombres,62,2021,0
Hombres,63,2021,0
Hombres,64,2021,0
Hombres,65,2021,0
Hombres,66,2021,0
Hombres,67,2021,0
Hombres,68,2021,0
Hombres,69,2021,0
Hombres,70,2021,0
Hombres,71,2021,0
Hombres,72,2021,0
Hombres,73,2021,0
Hombres,74,2021,0
Hombres,75,2021,0
Hombres,76,2021,0
Hombres,77,2021,0
Hombres,78,2021,0
Hombres,79,2021,0
Hombres,80,2021,0
Hombres,81,2021,0
Hombres,82,2021,0
Hombres,83,2021,0
Hombres,84,2021,0
Hombres,85,2021,0
Hombres,86,2021,0
Hombres,87,2021,0
Hombres,88,2021,0
Hombres,89,2021,0
Hombres,90,2021,0
Hombres,91,2021,0
Hombres,92,2021,0
Hombres,93,2021,0
Hombres,94,2021,0
Hombres,95,2021,0
Hombres,96,2021,0
Hombres,97,2021,0
Hombres,98,2021,0
Hombres,99,2021,0
Hombres,100,2021,0
Hombres,101,2021,0
Hombres,102,2021,0
Hombres,103,2021,0
Hombres,104,2021,0
Hombres,105,2021,0
Hombres,106,2021,0
Hombres,107,2021,0
Hombres,108,2021,0
Hombres,109,2021,0
