1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
7960,8108,8269,8396,8500,8634,8849,9113,9395,9699,10025,10378,10758,11148,11523,11779,11944,12116,12293,12481,12679,13003,13399,13858,14435,15003,15556,16110,16668,17230,17785,18360,18949,19505,20029,20545,21045,21520,22000,22501,23015
7670,7820,7966,8125,8250,8390,8603,8863,9134,9423,9733,10066,10428,10817,11216,11465,11590,11752,11921,12093,12275,12576,13004,13397,13853,14408,14954,15501,16048,16601,17158,17749,18365,18953,19505,20040,20540,21001,21458,21922,22396
7389,7534,7681,7825,7980,8141,8360,8617,8883,9160,9455,9773,10114,10484,10880,11155,11278,11402,11562,11727,11895,12175,12572,12998,13389,13824,14357,14898,15439,15980,16527,17120,17752,18367,18951,19512,20027,20487,20933,21376,21816
7148,7255,7398,7542,7682,7871,8110,8373,8637,8908,9190,9491,9816,10164,10541,10817,10970,11093,11218,11376,11538,11797,12168,12564,12989,13360,13773,14301,14835,15370,15907,16490,17122,17751,18361,18952,19491,19964,20410,20843,21264
6907,7016,7121,7260,7400,7574,7841,8124,8392,8660,8936,9224,9532,9863,10217,10478,10637,10790,10914,11038,11194,11442,11786,12155,12552,12957,13306,13715,14237,14766,15298,15869,16489,17118,17741,18356,18924,19420,19881,20315,20726
6664,6778,6884,6986,7121,7294,7546,7856,8142,8414,8686,8967,9261,9574,9909,10152,10300,10460,10614,10738,10862,11098,11425,11769,12141,12519,12902,13248,13653,14170,14696,15260,15865,16480,17101,17729,18320,18844,19328,19777,20191
6420,6536,6646,6750,6849,7017,7266,7559,7873,8162,8437,8713,8999,9296,9612,9841,9977,10127,10288,10443,10567,10767,11077,11406,11754,12107,12462,12843,13186,13588,14103,14659,15253,15850,16455,17082,17686,18233,18745,19219,19649
6175,6293,6406,6513,6612,6744,6987,7277,7573,7889,8181,8458,8737,9026,9325,9540,9668,9807,9959,10121,10276,10472,10743,11058,11392,11721,12051,12405,12782,13123,13524,14065,14645,15230,15817,16429,17032,17591,18126,18628,19082
5933,6048,6163,6273,6377,6509,6713,6996,7287,7584,7900,8194,8474,8755,9044,9247,9367,9499,9641,9795,9958,10181,10445,10720,11042,11357,11662,11992,12343,12720,13061,13484,14044,14614,15188,15783,16373,16931,17478,18002,18482
5698,5805,5918,6030,6137,6272,6475,6717,7000,7291,7588,7906,8201,8482,8762,8961,9077,9201,9335,9479,9635,9862,10150,10420,10704,11006,11296,11602,11930,12282,12660,13019,13457,14007,14566,15149,15724,16267,16811,17345,17846
