Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,49,13,13,14,15,16,17,18,19,19,20,21,22,24,25,26,27,35,43,51,59,67,75,84,93,101,110,125,139,154,169,184,213,242,272,301,330,327,323,319,315,312
Hombres,50,12,12,13,14,15,15,16,17,18,19,19,21,22,23,24,25,32,40,47,55,62,70,78,86,94,102,115,128,141,154,167,194,221,249,276,304,301,299,297,295,293
Hombres,51,11,11,12,13,14,14,15,16,17,17,18,19,20,21,22,23,30,37,44,51,58,65,72,80,87,94,106,117,129,140,152,177,203,228,254,279,278,278,277,276,275
Hombres,52,10,10,11,12,12,13,14,15,15,16,17,18,19,20,21,21,28,34,41,47,54,61,67,74,81,88,98,108,118,128,138,162,186,209,233,257,257,257,258,258,258
Hombres,53,9,10,10,11,11,12,13,13,14,15,15,16,17,18,19,20,26,32,38,44,50,56,63,69,75,82,90,99,108,117,126,148,170,192,214,236,237,238,239,241,242
Hombres,54,8,9,9,10,11,11,12,12,13,14,14,15,16,17,18,18,24,30,35,41,46,52,58,64,70,76,83,91,99,107,115,135,156,176,196,217,218,220,222,224,226
Hombres,55,8,8,9,9,10,10,11,11,12,13,13,14,15,16,16,17,22,28,33,38,43,49,54,59,65,70,77,84,91,98,105,124,143,161,180,199,201,204,206,208,211
Hombres,56,7,8,8,8,9,9,10,11,11,12,12,13,14,15,15,16,21,26,31,36,40,45,50,55,60,65,72,78,84,91,97,114,131,148,166,183,185,188,191,194,196
Hombres,57,7,7,7,8,8,9,9,10,10,11,11,12,13,14,14,15,20,24,29,33,38,42,47,52,56,61,67,72,78,84,89,105,121,137,152,168,171,174,177,180,183
Hombres,58,6,6,7,7,8,8,9,9,10,10,10,11,12,13,13,14,18,22,27,31,35,40,44,48,52,57,62,67,72,77,82,97,111,126,140,155,158,161,164,167,170
