a¤o,edad,valor
2037,26,0.012002299
2037,27,0.009974683
2037,28,0.008280896
2037,29,0.006868763
2037,30,0.005693354
2037,31,0.004716291
2037,32,0.003904995
2037,33,0.003231951
2037,34,0.002674016
2037,35,0.002211787
2037,36,0.001829042
2038,1,0.044568652
2038,2,0.040755893
2038,3,0.060576702
2038,4,0.081356177
2038,5,0.100460642
2038,6,0.115715884
2038,7,0.125830297
2038,8,0.130462948
2038,9,0.130039094
2038,10,0.125460269
2038,11,0.117824322
2038,12,0.1082152
2038,13,0.097576209
2038,14,0.086654187
2038,15,0.075992801
2038,16,0.065954007
2038,17,0.056751824
2038,18,0.048488241
2038,19,0.04118571
2038,20,0.03481391
2038,21,0.029310341
2038,22,0.024595346
2038,23,0.020582526
2038,24,0.017185586
2038,25,0.014322552
2038,26,0.011918115
2038,27,0.009904721
2038,28,0.008222814
2038,29,0.006820586
2038,30,0.005653422
2038,31,0.004683211
2038,32,0.003877605
2038,33,0.003209282
2038,34,0.00265526
2038,35,0.002196274
2038,36,0.001816214
2039,1,0.044263033
2039,2,0.04047642
2039,3,0.060161312
2039,4,0.080798296
2039,5,0.099771756
2039,6,0.11492239
2039,7,0.124967445
2039,8,0.129568329
2039,9,0.129147381
2039,10,0.124599955
2039,11,0.117016369
2039,12,0.10747314
2039,13,0.096907103
2039,14,0.086059977
2039,15,0.075471699
2039,16,0.065501743
2039,17,0.056362662
2039,18,0.048155744
2039,19,0.040903289
2039,20,0.034575182
2039,21,0.029109353
2039,22,0.02442669
2039,23,0.020441386
2039,24,0.01706774
2039,25,0.014224338
2039,26,0.01183639
2039,27,0.009836802
2039,28,0.008166428
2039,29,0.006773815
2039,30,0.005614655
2039,31,0.004651097
2039,32,0.003851016
2039,33,0.003187275
2039,34,0.002637052
2039,35,0.002181214
2039,36,0.001803759
2040,1,0.043966292
2040,2,0.040205064
2040,3,0.059757988
2040,4,0.080256621
2040,5,0.099102882
2040,6,0.114151946
2040,7,0.124129658
2040,8,0.128699697
2040,9,0.128281572
2040,10,0.123764632
2040,11,0.116231886
2040,12,0.106752636
2040,13,0.096257434
2040,14,0.085483027
2040,15,0.074965733
2040,16,0.065062616
2040,17,0.055984804
2040,18,0.047832906
2040,19,0.040629072
2040,20,0.034343389
2040,21,0.028914202
2040,22,0.024262932
2040,23,0.020304346
2040,24,0.016953317
